,Estado,Ano,Emissões_CO2e
325,Espírito Santo,2001,-3135.4512653805077
326,Rio de Janeiro,2001,-332.0011633825817
327,São Paulo,2001,-9426.65431167819
328,Paraná,2001,-8604.00254782573
329,Santa Catarina,2001,-6768.582319009603
330,Rio Grande do Sul,2001,1998.8360008792704
331,Mato Grosso do Sul,2001,19468.294658875133
332,Mato Grosso,2001,368461.89602624456
333,Goiás,2001,47415.57842124677
334,Distrito Federal,2001,296.08388583960055
336,Rondônia,2002,175325.25765194406
337,Acre,2002,58117.007740455985
338,Amazonas,2002,-48224.2032275305
339,Roraima,2002,-15169.34649485184
340,Pará,2002,525091.7173682271
341,Amapá,2002,-8003.313575656986
342,Tocantins,2002,33390.66675490502
343,Maranhão,2002,122347.70041921313
344,Piauí,2002,11960.516007016602
345,Ceará,2002,6058.462199131729
346,Rio Grande do Norte,2002,1674.9998983476894
347,Paraíba,2002,2073.5243688257233
348,Pernambuco,2002,3106.421560729681
349,Alagoas,2002,485.8648813680326
350,Sergipe,2002,571.8944200865036
351,Bahia,2002,34347.874693216785
352,Minas Gerais,2002,20927.772804666056
353,Espírito Santo,2002,-3707.728867714674
354,Rio de Janeiro,2002,-374.9399207959962
355,São Paulo,2002,-10424.3884062081
356,Paraná,2002,-7822.42831606201
357,Santa Catarina,2002,-6935.359890957172
358,Rio Grande do Sul,2002,1574.9895814020038
359,Mato Grosso do Sul,2002,19446.911129040098
360,Mato Grosso,2002,366177.74555115006
361,Goiás,2002,46640.801631087794
362,Distrito Federal,2002,296.3808477027284
364,Rondônia,2003,238520.74461255778
365,Acre,2003,79394.44106820443
366,Amazonas,2003,58385.104757846115
367,Roraima,2003,63133.558788339054
368,Pará,2003,690649.4964113126
369,Amapá,2003,-2131.8177018758633
370,Tocantins,2003,72676.83634821871
371,Maranhão,2003,171716.32306963325
372,Piauí,2003,17941.908612917163
373,Ceará,2003,10956.826244375588
374,Rio Grande do Norte,2003,2360.033162853462
375,Paraíba,2003,1768.2072572139127
376,Pernambuco,2003,2758.585719921485
377,Alagoas,2003,1945.9220264726007
378,Sergipe,2003,1283.349061245889
379,Bahia,2003,54598.29865378148
380,Minas Gerais,2003,63158.40072948763
381,Espírito Santo,2003,-3559.4219525020226
382,Rio de Janeiro,2003,-33.47874984657018
383,São Paulo,2003,10913.239625550628
384,Paraná,2003,3468.3288434874326
385,Santa Catarina,2003,-5130.359889470427
386,Rio Grande do Sul,2003,10286.592361839783
387,Mato Grosso do Sul,2003,114769.39464955783
388,Mato Grosso,2003,649539.4152881817
389,Goiás,2003,100809.90621769737
390,Distrito Federal,2003,1260.6028061578502
392,Rondônia,2004,261227.23273573935
393,Acre,2004,49427.91092121164
394,Amazonas,2004,17237.5646875443
395,Roraima,2004,38343.1620038959
396,Pará,2004,896008.2440865771
397,Amapá,2004,4941.7726249462985
398,Tocantins,2004,73382.7217560118
399,Maranhão,2004,141540.1636883749
400,Piauí,2004,17955.761938486092
401,Ceará,2004,10957.46701198061
402,Rio Grande do Norte,2004,2359.198775548715
403,Paraíba,2004,1768.3291108093847
404,Pernambuco,2004,2758.7882621633503
