cod;nome;período;valor
41;PR;2006;4.75
42;SC;2006;3.04
43;RS;2006;2.95
50;MS;2006;4.67
51;MT;2006;4.95
52;GO;2006;4.95
53;DF;2006;3.88
24;RN;2006;2.66
25;PB;2006;3.23
26;PE;2006;6.9
27;AL;2006;6.68
28;SE;2006;3.9
23;CE;2006;3.17
29;BA;2006;3.42
31;MG;2006;3.98
32;ES;2006;10.52
33;RJ;2006;6.15
11;RO;2006;6.8
12;AC;2006;4.35
13;AM;2006;3.26
14;RR;2006;6.5
15;PA;2006;3.91
16;AP;2006;4.23
17;TO;2006;3.38
21;MA;2006;2.08
22;PI;2006;2.03
27;AL;2007;6.8
11;RO;2007;3.69
12;AC;2007;5.08
13;AM;2007;3.13
14;RR;2007;9.21
15;PA;2007;3.95
16;AP;2007;3.79
17;TO;2007;4.23
21;MA;2007;1.93
22;PI;2007;2.2
53;DF;2007;4.26
52;GO;2007;4.73
51;MT;2007;6.59
50;MS;2007;5.6
43;RS;2007;3.49
42;SC;2007;2.28
41;PR;2007;4.56
35;SP;2007;2.84
33;RJ;2007;5.03
32;ES;2007;10.57
31;MG;2007;4.07
29;BA;2007;3.48
28;SE;2007;3.27
26;PE;2007;6.39
25;PB;2007;3.56
24;RN;2007;2.63
23;CE;2007;2.95
22;PI;2008;2.37
23;CE;2008;2.71
24;RN;2008;3.65
25;PB;2008;4.46
26;PE;2008;6.51
27;AL;2008;5.13
28;SE;2008;2.85
29;BA;2008;4.38
31;MG;2008;3.78
32;ES;2008;10.67
33;RJ;2008;4.47
35;SP;2008;3.14
41;PR;2008;5.75
42;SC;2008;2.76
43;RS;2008;3.95
50;MS;2008;4.94
51;MT;2008;5.86
52;GO;2008;5.36
53;DF;2008;4.86
11;RO;2008;5.08
12;AC;2008;3.58
13;AM;2008;3.72
14;RR;2008;7.05
15;PA;2008;4.55
16;AP;2008;3.98
17;TO;2008;3.12
21;MA;2008;2.45
21;MA;2009;2.6
53;DF;2009;5.64
52;GO;2009;5.45
51;MT;2009;6.29
50;MS;2009;5.27
43;RS;2009;4.04
42;SC;2009;2.95
41;PR;2009;6.16
35;SP;2009;3.08
33;RJ;2009;4.15
32;ES;2009;11.99
31;MG;2009;4
29;BA;2009;4.77
28;SE;2009;3.37
27;AL;2009;6.8
26;PE;2009;6.57
25;PB;2009;4.99
24;RN;2009;3.48
23;CE;2009;3.16
11;RO;2009;6.57
12;AC;2009;4.3
13;AM;2009;3.87
14;RR;2009;10.95
15;PA;2009;4.76
16;AP;2009;3.57
17;TO;2009;4.53
22;PI;2009;1.92
22;PI;2010;2.46
11;RO;2010;4.72
12;AC;2010;4.99
13;AM;2010;3.69
14;RR;2010;4.87
15;PA;2010;6
16;AP;2010;4.62
17;TO;2010;4.89
21;MA;2010;3.46
23;CE;2010;3.92
24;RN;2010;4.29
25;PB;2010;6.01
26;PE;2010;5.29
27;AL;2010;8.32
28;SE;2010;3.97
29;BA;2010;6.02
31;MG;2010;4.04
32;ES;2010;9.54
33;RJ;2010;3.98
35;SP;2010;3.13
41;PR;2010;6.24
42;SC;2010;3.44
43;RS;2010;4.06
50;MS;2010;6.07
51;MT;2010;5.26
52;GO;2010;5.92
53;DF;2010;4.8
22;PI;2011;1.96
53;DF;2011;5.66
52;GO;2011;8.38
51;MT;2011;5.65
50;MS;2011;6.15
43;RS;2011;3.59
42;SC;2011;2.28
41;PR;2011;5.18
35;SP;2011;2.65
33;RJ;2011;4.27
32;ES;2011;9.04
31;MG;2011;4.48
29;BA;2011;6.13
28;SE;2011;5.48
27;AL;2011;8.32
26;PE;2011;5.55
25;PB;2011;7.03
24;RN;2011;4.54
23;CE;2011;4.25
17;TO;2011;6.95
21;MA;2011;3.84
11;RO;2011;6.04
12;AC;2011;4.64
13;AM;2011;4.51
14;RR;2011;4.33
15;PA;2011;4.77
16;AP;2011;5.35
21;MA;2012;3.32
17;TO;2012;6.86
16;AP;2012;4.68
15;PA;2012;5.87
14;RR;2012;7.19
13;AM;2012;6.45
12;AC;2012;4.05
11;RO;2012;6.34
22;PI;2012;2.8
23;CE;2012;4.89
24;RN;2012;3.79
25;PB;2012;6.85
26;PE;2012;4.56
27;AL;2012;7.97
28;SE;2012;5.6
29;BA;2012;5.93
31;MG;2012;4.48
32;ES;2012;8.71
33;RJ;2012;4.23
35;SP;2012;2.89
41;PR;2012;5.83
42;SC;2012;3.16
43;RS;2012;4.37
50;MS;2012;6
51;MT;2012;6.41
52;GO;2012;7.77
53;DF;2012;5.43
53;DF;2013;5.42
31;MG;2013;4.13
29;BA;2013;5.71
28;SE;2013;5
27;AL;2013;8.46
26;PE;2013;5.37
25;PB;2013;6.28
24;RN;2013;5.22
23;CE;2013;6.16
22;PI;2013;2.85
21;MA;2013;3.79
17;TO;2013;5.52
16;AP;2013;5.11
15;PA;2013;5.78
14;RR;2013;14.87
13;AM;2013;5.15
12;AC;2013;7.97
11;RO;2013;6.38
32;ES;2013;9.02
