,Unidade Territorial,Referência,Perc RF fam PBF
591,MATO GROSSO,2015-09-01,93.8
592,GOIÁS,2015-09-01,94.7
593,DISTRITO FEDERAL,2015-09-01,94.0
594,RONDÔNIA,2015-10-01,93.3
595,ACRE,2015-10-01,90.5
596,AMAZONAS,2015-10-01,90.3
597,RORAIMA,2015-10-01,89.2
598,PARÁ,2015-10-01,91.8
599,AMAPÁ,2015-10-01,92.7
600,TOCANTINS,2015-10-01,92.2
601,MARANHÃO,2015-10-01,90.7
602,PIAUÍ,2015-10-01,90.0
603,CEARÁ,2015-10-01,93.7
604,RIO GRANDE DO NORTE,2015-10-01,92.7
605,PARAÍBA,2015-10-01,93.0
606,PERNAMBUCO,2015-10-01,91.5
607,ALAGOAS,2015-10-01,92.3
608,SERGIPE,2015-10-01,91.7
609,BAHIA,2015-10-01,91.1
610,MINAS GERAIS,2015-10-01,92.8
611,ESPÍRITO SANTO,2015-10-01,93.3
612,RIO DE JANEIRO,2015-10-01,94.0
613,SÃO PAULO,2015-10-01,92.8
614,PARANÁ,2015-10-01,92.4
615,SANTA CATARINA,2015-10-01,93.2
616,RIO GRANDE DO SUL,2015-10-01,92.6
617,MATO GROSSO DO SUL,2015-10-01,92.6
618,MATO GROSSO,2015-10-01,93.7
619,GOIÁS,2015-10-01,94.7
620,DISTRITO FEDERAL,2015-10-01,94.0
621,RONDÔNIA,2015-11-01,93.3
622,ACRE,2015-11-01,90.5
