,Unidade Territorial,Referência,TAC
1853,ESPÍRITO SANTO,2020-12-01,75.34
1854,RIO DE JANEIRO,2020-12-01,67.63
1855,SÃO PAULO,2020-12-01,69.21
1856,PARANÁ,2020-12-01,78.06
1857,SANTA CATARINA,2020-12-01,73.98
1858,RIO GRANDE DO SUL,2020-12-01,71.78
1859,MATO GROSSO DO SUL,2020-12-01,74.67
1860,MATO GROSSO,2020-12-01,75.63
1861,GOIÁS,2020-12-01,70.14
1862,DISTRITO FEDERAL,2020-12-01,65.0
1863,RONDÔNIA,2021-01-01,70.26
1864,ACRE,2021-01-01,72.36
1865,AMAZONAS,2021-01-01,69.47
1866,RORAIMA,2021-01-01,71.51
1867,PARÁ,2021-01-01,69.13
1868,AMAPÁ,2021-01-01,73.18
1869,TOCANTINS,2021-01-01,74.35
1870,MARANHÃO,2021-01-01,68.13
1871,PIAUÍ,2021-01-01,72.6
1872,CEARÁ,2021-01-01,70.69
1873,RIO GRANDE DO NORTE,2021-01-01,69.79
1874,PARAÍBA,2021-01-01,70.18
1875,PERNAMBUCO,2021-01-01,69.74
1876,ALAGOAS,2021-01-01,66.08
1877,SERGIPE,2021-01-01,69.71
1878,BAHIA,2021-01-01,68.69
1879,MINAS GERAIS,2021-01-01,72.99
1880,ESPÍRITO SANTO,2021-01-01,74.49
1881,RIO DE JANEIRO,2021-01-01,66.51
1882,SÃO PAULO,2021-01-01,68.12
1883,PARANÁ,2021-01-01,77.17
1884,SANTA CATARINA,2021-01-01,73.22
1885,RIO GRANDE DO SUL,2021-01-01,70.68
1886,MATO GROSSO DO SUL,2021-01-01,73.85
1887,MATO GROSSO,2021-01-01,75.25
1888,GOIÁS,2021-01-01,69.06
1889,DISTRITO FEDERAL,2021-01-01,63.46
1890,RONDÔNIA,2021-02-01,68.51
1891,ACRE,2021-02-01,71.09
1892,AMAZONAS,2021-02-01,67.55
1893,RORAIMA,2021-02-01,69.0
1894,PARÁ,2021-02-01,68.28
1895,AMAPÁ,2021-02-01,72.24
1896,TOCANTINS,2021-02-01,73.16
1897,MARANHÃO,2021-02-01,67.2
1898,PIAUÍ,2021-02-01,71.88
1899,CEARÁ,2021-02-01,70.41
1900,RIO GRANDE DO NORTE,2021-02-01,69.33
1901,PARAÍBA,2021-02-01,69.97
1902,PERNAMBUCO,2021-02-01,69.15
1903,ALAGOAS,2021-02-01,66.41
1904,SERGIPE,2021-02-01,69.63
1905,BAHIA,2021-02-01,67.8
1906,MINAS GERAIS,2021-02-01,72.27
1907,ESPÍRITO SANTO,2021-02-01,73.69
1908,RIO DE JANEIRO,2021-02-01,65.77
1909,SÃO PAULO,2021-02-01,67.15
1910,PARANÁ,2021-02-01,76.45
1911,SANTA CATARINA,2021-02-01,72.5
1912,RIO GRANDE DO SUL,2021-02-01,70.08
1913,MATO GROSSO DO SUL,2021-02-01,72.96
1914,MATO GROSSO,2021-02-01,74.63
1915,GOIÁS,2021-02-01,67.78
1916,DISTRITO FEDERAL,2021-02-01,63.08
1917,RONDÔNIA,2021-03-01,67.73
1918,ACRE,2021-03-01,70.17
1919,AMAZONAS,2021-03-01,65.57
1920,RORAIMA,2021-03-01,67.01
1921,PARÁ,2021-03-01,67.94
1922,AMAPÁ,2021-03-01,71.04
1923,TOCANTINS,2021-03-01,71.85
1924,MARANHÃO,2021-03-01,67.01
1925,PIAUÍ,2021-03-01,71.47
1926,CEARÁ,2021-03-01,69.39
1927,RIO GRANDE DO NORTE,2021-03-01,68.91
1928,PARAÍBA,2021-03-01,69.74
1929,PERNAMBUCO,2021-03-01,69.0
1930,ALAGOAS,2021-03-01,66.98
1931,SERGIPE,2021-03-01,69.94
1932,BAHIA,2021-03-01,66.92
1933,MINAS GERAIS,2021-03-01,71.65
1934,ESPÍRITO SANTO,2021-03-01,72.96
1935,RIO DE JANEIRO,2021-03-01,65.52
1936,SÃO PAULO,2021-03-01,66.39
1937,PARANÁ,2021-03-01,75.39
1938,SANTA CATARINA,2021-03-01,71.5
1939,RIO GRANDE DO SUL,2021-03-01,69.34
1940,MATO GROSSO DO SUL,2021-03-01,72.24
1941,MATO GROSSO,2021-03-01,73.47
1942,GOIÁS,2021-03-01,66.74
1943,DISTRITO FEDERAL,2021-03-01,62.68
1944,RONDÔNIA,2021-04-01,65.39
1945,ACRE,2021-04-01,68.21
1946,AMAZONAS,2021-04-01,62.49
1947,RORAIMA,2021-04-01,63.53
1948,PARÁ,2021-04-01,65.75
1949,AMAPÁ,2021-04-01,66.68
1950,TOCANTINS,2021-04-01,69.96
1951,MARANHÃO,2021-04-01,65.35
1952,PIAUÍ,2021-04-01,69.57
1953,CEARÁ,2021-04-01,66.83
1954,RIO GRANDE DO NORTE,2021-04-01,66.64
1955,PARAÍBA,2021-04-01,67.43
1956,PERNAMBUCO,2021-04-01,67.01
1957,ALAGOAS,2021-04-01,66.14
1958,SERGIPE,2021-04-01,68.3
1959,BAHIA,2021-04-01,64.66
1960,MINAS GERAIS,2021-04-01,69.54
1961,ESPÍRITO SANTO,2021-04-01,71.24
1962,RIO DE JANEIRO,2021-04-01,63.9
1963,SÃO PAULO,2021-04-01,64.27
1964,PARANÁ,2021-04-01,73.7
1965,SANTA CATARINA,2021-04-01,69.95
1966,RIO GRANDE DO SUL,2021-04-01,67.96
1967,MATO GROSSO DO SUL,2021-04-01,69.99
1968,MATO GROSSO,2021-04-01,71.53
1969,GOIÁS,2021-04-01,64.89
1970,DISTRITO FEDERAL,2021-04-01,61.58
1971,RONDÔNIA,2021-05-01,63.86
1972,ACRE,2021-05-01,66.86
1973,AMAZONAS,2021-05-01,61.17
1974,RORAIMA,2021-05-01,61.04
1975,PARÁ,2021-05-01,64.46
1976,AMAPÁ,2021-05-01,64.43
1977,TOCANTINS,2021-05-01,68.84
1978,MARANHÃO,2021-05-01,65.14
1979,PIAUÍ,2021-05-01,68.68
1980,CEARÁ,2021-05-01,66.01
1981,RIO GRANDE DO NORTE,2021-05-01,65.41
1982,PARAÍBA,2021-05-01,66.31
1983,PERNAMBUCO,2021-05-01,66.21
1984,ALAGOAS,2021-05-01,65.99
1985,SERGIPE,2021-05-01,67.08
1986,BAHIA,2021-05-01,63.95
1987,MINAS GERAIS,2021-05-01,68.73
1988,ESPÍRITO SANTO,2021-05-01,70.8
1989,RIO DE JANEIRO,2021-05-01,62.97
1990,SÃO PAULO,2021-05-01,63.09
1991,PARANÁ,2021-05-01,73.03
1992,SANTA CATARINA,2021-05-01,69.07
1993,RIO GRANDE DO SUL,2021-05-01,67.27
1994,MATO GROSSO DO SUL,2021-05-01,68.98
1995,MATO GROSSO,2021-05-01,70.59
1996,GOIÁS,2021-05-01,64.21
1997,DISTRITO FEDERAL,2021-05-01,60.15
1998,RONDÔNIA,2021-06-01,62.2
1999,ACRE,2021-06-01,65.04
2000,AMAZONAS,2021-06-01,59.38
2001,RORAIMA,2021-06-01,58.2
2002,PARÁ,2021-06-01,62.74
2003,AMAPÁ,2021-06-01,61.33
2004,TOCANTINS,2021-06-01,67.58
2005,MARANHÃO,2021-06-01,64.43
2006,PIAUÍ,2021-06-01,67.51
2007,CEARÁ,2021-06-01,64.86
2008,RIO GRANDE DO NORTE,2021-06-01,63.67
2009,PARAÍBA,2021-06-01,64.75
2010,PERNAMBUCO,2021-06-01,64.86
2011,ALAGOAS,2021-06-01,64.96
2012,SERGIPE,2021-06-01,65.69
2013,BAHIA,2021-06-01,62.65
2014,MINAS GERAIS,2021-06-01,67.63
2015,ESPÍRITO SANTO,2021-06-01,70.0
2016,RIO DE JANEIRO,2021-06-01,61.45
2017,SÃO PAULO,2021-06-01,61.59
2018,PARANÁ,2021-06-01,71.98
2019,SANTA CATARINA,2021-06-01,67.78
2020,RIO GRANDE DO SUL,2021-06-01,66.21
2021,MATO GROSSO DO SUL,2021-06-01,67.53
2022,MATO GROSSO,2021-06-01,69.21
2023,GOIÁS,2021-06-01,63.15
2024,DISTRITO FEDERAL,2021-06-01,57.96
2025,RONDÔNIA,2021-07-01,60.94
2026,ACRE,2021-07-01,64.46
2027,AMAZONAS,2021-07-01,57.32
2028,RORAIMA,2021-07-01,55.9
2029,PARÁ,2021-07-01,61.33
2030,AMAPÁ,2021-07-01,59.04
2031,TOCANTINS,2021-07-01,66.76
2032,MARANHÃO,2021-07-01,63.82
2033,PIAUÍ,2021-07-01,66.13
2034,CEARÁ,2021-07-01,64.03
2035,RIO GRANDE DO NORTE,2021-07-01,61.91
2036,PARAÍBA,2021-07-01,63.39
2037,PERNAMBUCO,2021-07-01,63.63
2038,ALAGOAS,2021-07-01,63.59
2039,SERGIPE,2021-07-01,64.54
2040,BAHIA,2021-07-01,61.61
2041,MINAS GERAIS,2021-07-01,66.51
2042,ESPÍRITO SANTO,2021-07-01,69.29
2043,RIO DE JANEIRO,2021-07-01,60.44
2044,SÃO PAULO,2021-07-01,60.53
2045,PARANÁ,2021-07-01,71.11
2046,SANTA CATARINA,2021-07-01,66.5
2047,RIO GRANDE DO SUL,2021-07-01,65.2
2048,MATO GROSSO DO SUL,2021-07-01,66.67
2049,MATO GROSSO,2021-07-01,68.4
2050,GOIÁS,2021-07-01,62.5
2051,DISTRITO FEDERAL,2021-07-01,56.31
2052,RONDÔNIA,2021-08-01,59.97
2053,ACRE,2021-08-01,64.18
2054,AMAZONAS,2021-08-01,55.14
2055,RORAIMA,2021-08-01,53.34
2056,PARÁ,2021-08-01,60.44
2057,AMAPÁ,2021-08-01,57.55
2058,TOCANTINS,2021-08-01,66.08
2059,MARANHÃO,2021-08-01,63.08
2060,PIAUÍ,2021-08-01,65.24
2061,CEARÁ,2021-08-01,63.34
2062,RIO GRANDE DO NORTE,2021-08-01,60.29
2063,PARAÍBA,2021-08-01,61.6
2064,PERNAMBUCO,2021-08-01,62.44
2065,ALAGOAS,2021-08-01,62.19
2066,SERGIPE,2021-08-01,62.81
2067,BAHIA,2021-08-01,60.16
2068,MINAS GERAIS,2021-08-01,65.19
2069,ESPÍRITO SANTO,2021-08-01,69.06
2070,RIO DE JANEIRO,2021-08-01,59.18
2071,SÃO PAULO,2021-08-01,59.04
2072,PARANÁ,2021-08-01,70.11
2073,SANTA CATARINA,2021-08-01,65.19
2074,RIO GRANDE DO SUL,2021-08-01,64.33
2075,MATO GROSSO DO SUL,2021-08-01,65.6
2076,MATO GROSSO,2021-08-01,67.57
2077,GOIÁS,2021-08-01,61.58
2078,DISTRITO FEDERAL,2021-08-01,55.5
2079,RONDÔNIA,2021-09-01,58.95
2080,ACRE,2021-09-01,63.86
2081,AMAZONAS,2021-09-01,54.1
2082,RORAIMA,2021-09-01,50.57
2083,PARÁ,2021-09-01,59.62
2084,AMAPÁ,2021-09-01,56.79
2085,TOCANTINS,2021-09-01,64.85
2086,MARANHÃO,2021-09-01,62.98
2087,PIAUÍ,2021-09-01,64.63
2088,CEARÁ,2021-09-01,62.72
2089,RIO GRANDE DO NORTE,2021-09-01,59.21
2090,PARAÍBA,2021-09-01,60.37
2091,PERNAMBUCO,2021-09-01,61.59
2092,ALAGOAS,2021-09-01,61.76
2093,SERGIPE,2021-09-01,61.54
2094,BAHIA,2021-09-01,59.18
2095,MINAS GERAIS,2021-09-01,64.08
2096,ESPÍRITO SANTO,2021-09-01,68.56
2097,RIO DE JANEIRO,2021-09-01,57.83
2098,SÃO PAULO,2021-09-01,57.92
2099,PARANÁ,2021-09-01,69.08
2100,SANTA CATARINA,2021-09-01,63.86
2101,RIO GRANDE DO SUL,2021-09-01,63.35
2102,MATO GROSSO DO SUL,2021-09-01,64.97
2103,MATO GROSSO,2021-09-01,66.77
2104,GOIÁS,2021-09-01,60.98
2105,DISTRITO FEDERAL,2021-09-01,54.65
2106,RONDÔNIA,2021-10-01,58.01
2107,ACRE,2021-10-01,63.03
2108,AMAZONAS,2021-10-01,53.29
2109,RORAIMA,2021-10-01,47.06
2110,PARÁ,2021-10-01,59.36
2111,AMAPÁ,2021-10-01,56.79
2112,TOCANTINS,2021-10-01,64.23
2113,MARANHÃO,2021-10-01,63.24
2114,PIAUÍ,2021-10-01,64.26
2115,CEARÁ,2021-10-01,63.1
2116,RIO GRANDE DO NORTE,2021-10-01,59.16
2117,PARAÍBA,2021-10-01,59.73
2118,PERNAMBUCO,2021-10-01,61.11
2119,ALAGOAS,2021-10-01,61.52
2120,SERGIPE,2021-10-01,61.09
2121,BAHIA,2021-10-01,58.58
2122,MINAS GERAIS,2021-10-01,63.31
2123,ESPÍRITO SANTO,2021-10-01,68.19
2124,RIO DE JANEIRO,2021-10-01,56.76
2125,SÃO PAULO,2021-10-01,57.25
2126,PARANÁ,2021-10-01,68.4
2127,SANTA CATARINA,2021-10-01,62.98
2128,RIO GRANDE DO SUL,2021-10-01,62.89
2129,MATO GROSSO DO SUL,2021-10-01,64.68
2130,MATO GROSSO,2021-10-01,66.25
2131,GOIÁS,2021-10-01,61.16
2132,DISTRITO FEDERAL,2021-10-01,53.83
2133,RONDÔNIA,2021-11-01,58.77
2134,ACRE,2021-11-01,65.5
2135,AMAZONAS,2021-11-01,55.7
2136,RORAIMA,2021-11-01,43.54
2137,PARÁ,2021-11-01,61.42
2138,AMAPÁ,2021-11-01,59.0
2139,TOCANTINS,2021-11-01,65.22
2140,MARANHÃO,2021-11-01,67.72
2141,PIAUÍ,2021-11-01,66.45
2142,CEARÁ,2021-11-01,65.91
2143,RIO GRANDE DO NORTE,2021-11-01,61.92
2144,PARAÍBA,2021-11-01,61.9
2145,PERNAMBUCO,2021-11-01,63.18
2146,ALAGOAS,2021-11-01,63.33
2147,SERGIPE,2021-11-01,63.07
2148,BAHIA,2021-11-01,61.54
2149,MINAS GERAIS,2021-11-01,64.73
2150,ESPÍRITO SANTO,2021-11-01,68.96
2151,RIO DE JANEIRO,2021-11-01,58.02
2152,SÃO PAULO,2021-11-01,57.29
2153,PARANÁ,2021-11-01,68.52
2154,SANTA CATARINA,2021-11-01,62.76
2155,RIO GRANDE DO SUL,2021-11-01,63.91
2156,MATO GROSSO DO SUL,2021-11-01,66.19
2157,MATO GROSSO,2021-11-01,67.47
2158,GOIÁS,2021-11-01,63.16
2159,DISTRITO FEDERAL,2021-11-01,53.79
2160,RONDÔNIA,2021-12-01,59.75
2161,ACRE,2021-12-01,67.49
2162,AMAZONAS,2021-12-01,57.28
2163,RORAIMA,2021-12-01,43.47
2164,PARÁ,2021-12-01,62.64
2165,AMAPÁ,2021-12-01,61.27
2166,TOCANTINS,2021-12-01,66.09
2167,MARANHÃO,2021-12-01,69.46
2168,PIAUÍ,2021-12-01,68.04
2169,CEARÁ,2021-12-01,67.32
2170,RIO GRANDE DO NORTE,2021-12-01,63.8
2171,PARAÍBA,2021-12-01,63.55
2172,PERNAMBUCO,2021-12-01,64.55
2173,ALAGOAS,2021-12-01,64.26
2174,SERGIPE,2021-12-01,64.38
2175,BAHIA,2021-12-01,63.13
2176,MINAS GERAIS,2021-12-01,65.59
2177,ESPÍRITO SANTO,2021-12-01,69.94
2178,RIO DE JANEIRO,2021-12-01,59.09
2179,SÃO PAULO,2021-12-01,57.77
2180,PARANÁ,2021-12-01,69.16
2181,SANTA CATARINA,2021-12-01,63.25
2182,RIO GRANDE DO SUL,2021-12-01,64.78
2183,MATO GROSSO DO SUL,2021-12-01,67.31
2184,MATO GROSSO,2021-12-01,68.27
2185,GOIÁS,2021-12-01,64.44
2186,DISTRITO FEDERAL,2021-12-01,54.02
2187,RONDÔNIA,2022-01-01,60.04
2188,ACRE,2022-01-01,68.62
2189,AMAZONAS,2022-01-01,58.13
2190,RORAIMA,2022-01-01,43.2
2191,PARÁ,2022-01-01,63.19
2192,AMAPÁ,2022-01-01,62.65
2193,TOCANTINS,2022-01-01,66.15
2194,MARANHÃO,2022-01-01,70.17
2195,PIAUÍ,2022-01-01,68.86
2196,CEARÁ,2022-01-01,67.9
2197,RIO GRANDE DO NORTE,2022-01-01,64.9
2198,PARAÍBA,2022-01-01,64.47
2199,PERNAMBUCO,2022-01-01,65.55
2200,ALAGOAS,2022-01-01,64.84
2201,SERGIPE,2022-01-01,65.37
2202,BAHIA,2022-01-01,63.95
2203,MINAS GERAIS,2022-01-01,65.8
2204,ESPÍRITO SANTO,2022-01-01,70.6
2205,RIO DE JANEIRO,2022-01-01,60.05
2206,SÃO PAULO,2022-01-01,57.84
2207,PARANÁ,2022-01-01,68.98
2208,SANTA CATARINA,2022-01-01,63.13
2209,RIO GRANDE DO SUL,2022-01-01,65.14
2210,MATO GROSSO DO SUL,2022-01-01,67.27
2211,MATO GROSSO,2022-01-01,68.12
2212,GOIÁS,2022-01-01,65.03
2213,DISTRITO FEDERAL,2022-01-01,54.82
2214,RONDÔNIA,2022-02-01,60.47
2215,ACRE,2022-02-01,69.57
2216,AMAZONAS,2022-02-01,58.6
2217,RORAIMA,2022-02-01,42.01
2218,PARÁ,2022-02-01,64.38
2219,AMAPÁ,2022-02-01,64.46
2220,TOCANTINS,2022-02-01,66.4
2221,MARANHÃO,2022-02-01,71.16
2222,PIAUÍ,2022-02-01,70.63
2223,CEARÁ,2022-02-01,68.69
2224,RIO GRANDE DO NORTE,2022-02-01,66.5
2225,PARAÍBA,2022-02-01,65.6
2226,PERNAMBUCO,2022-02-01,66.73
2227,ALAGOAS,2022-02-01,66.09
2228,SERGIPE,2022-02-01,67.07
2229,BAHIA,2022-02-01,65.33
2230,MINAS GERAIS,2022-02-01,66.11
2231,ESPÍRITO SANTO,2022-02-01,70.71
2232,RIO DE JANEIRO,2022-02-01,61.74
2233,SÃO PAULO,2022-02-01,57.9
2234,PARANÁ,2022-02-01,68.8
2235,SANTA CATARINA,2022-02-01,63.05
2236,RIO GRANDE DO SUL,2022-02-01,65.4
2237,MATO GROSSO DO SUL,2022-02-01,67.88
2238,MATO GROSSO,2022-02-01,68.49
2239,GOIÁS,2022-02-01,66.29
2240,DISTRITO FEDERAL,2022-02-01,56.08
2241,RONDÔNIA,2022-03-01,60.48
2242,ACRE,2022-03-01,69.85
2243,AMAZONAS,2022-03-01,58.7
2244,RORAIMA,2022-03-01,42.55
2245,PARÁ,2022-03-01,64.89
2246,AMAPÁ,2022-03-01,65.09
2247,TOCANTINS,2022-03-01,66.44
2248,MARANHÃO,2022-03-01,71.45
2249,PIAUÍ,2022-03-01,71.06
2250,CEARÁ,2022-03-01,68.95
2251,RIO GRANDE DO NORTE,2022-03-01,66.89
2252,PARAÍBA,2022-03-01,65.82
2253,PERNAMBUCO,2022-03-01,67.21
2254,ALAGOAS,2022-03-01,66.26
2255,SERGIPE,2022-03-01,67.37
2256,BAHIA,2022-03-01,65.86
2257,MINAS GERAIS,2022-03-01,66.16
2258,ESPÍRITO SANTO,2022-03-01,70.75
2259,RIO DE JANEIRO,2022-03-01,62.36
2260,SÃO PAULO,2022-03-01,57.9
2261,PARANÁ,2022-03-01,68.64
2262,SANTA CATARINA,2022-03-01,62.85
2263,RIO GRANDE DO SUL,2022-03-01,65.42
2264,MATO GROSSO DO SUL,2022-03-01,67.95
2265,MATO GROSSO,2022-03-01,68.44
2266,GOIÁS,2022-03-01,66.79
2267,DISTRITO FEDERAL,2022-03-01,56.9
2268,RONDÔNIA,2022-04-01,63.07
2269,ACRE,2022-04-01,72.79
2270,AMAZONAS,2022-04-01,62.26
2271,RORAIMA,2022-04-01,44.97
2272,PARÁ,2022-04-01,67.94
2273,AMAPÁ,2022-04-01,68.81
2274,TOCANTINS,2022-04-01,68.94
2275,MARANHÃO,2022-04-01,73.9
2276,PIAUÍ,2022-04-01,74.46
2277,CEARÁ,2022-04-01,71.82
2278,RIO GRANDE DO NORTE,2022-04-01,69.95
2279,PARAÍBA,2022-04-01,68.82
2280,PERNAMBUCO,2022-04-01,69.85
2281,ALAGOAS,2022-04-01,68.74
2282,SERGIPE,2022-04-01,70.26
2283,BAHIA,2022-04-01,68.95
2284,MINAS GERAIS,2022-04-01,68.16
2285,ESPÍRITO SANTO,2022-04-01,72.82
2286,RIO DE JANEIRO,2022-04-01,65.7
2287,SÃO PAULO,2022-04-01,59.77
2288,PARANÁ,2022-04-01,70.13
2289,SANTA CATARINA,2022-04-01,64.93
2290,RIO GRANDE DO SUL,2022-04-01,67.2
2291,MATO GROSSO DO SUL,2022-04-01,70.09
2292,MATO GROSSO,2022-04-01,69.78
2293,GOIÁS,2022-04-01,69.91
2294,DISTRITO FEDERAL,2022-04-01,61.94
2295,RONDÔNIA,2022-05-01,64.94
2296,ACRE,2022-05-01,75.09
2297,AMAZONAS,2022-05-01,66.17
2298,RORAIMA,2022-05-01,47.44
2299,PARÁ,2022-05-01,70.57
2300,AMAPÁ,2022-05-01,71.08
2301,TOCANTINS,2022-05-01,70.58
2302,MARANHÃO,2022-05-01,75.95
2303,PIAUÍ,2022-05-01,76.59
2304,CEARÁ,2022-05-01,74.24
2305,RIO GRANDE DO NORTE,2022-05-01,72.05
2306,PARAÍBA,2022-05-01,71.3
2307,PERNAMBUCO,2022-05-01,72.12
2308,ALAGOAS,2022-05-01,70.99
2309,SERGIPE,2022-05-01,72.57
2310,BAHIA,2022-05-01,71.46
2311,MINAS GERAIS,2022-05-01,69.61
2312,ESPÍRITO SANTO,2022-05-01,73.92
2313,RIO DE JANEIRO,2022-05-01,68.13
2314,SÃO PAULO,2022-05-01,61.33
2315,PARANÁ,2022-05-01,71.05
2316,SANTA CATARINA,2022-05-01,66.38
2317,RIO GRANDE DO SUL,2022-05-01,68.55
2318,MATO GROSSO DO SUL,2022-05-01,71.36
2319,MATO GROSSO,2022-05-01,70.85
2320,GOIÁS,2022-05-01,71.86
2321,DISTRITO FEDERAL,2022-05-01,65.27
2322,RONDÔNIA,2022-06-01,66.31
2323,ACRE,2022-06-01,77.13
2324,AMAZONAS,2022-06-01,69.59
2325,RORAIMA,2022-06-01,50.19
2326,PARÁ,2022-06-01,72.85
2327,AMAPÁ,2022-06-01,73.27
2328,TOCANTINS,2022-06-01,71.95
2329,MARANHÃO,2022-06-01,77.5
2330,PIAUÍ,2022-06-01,78.33
2331,CEARÁ,2022-06-01,76.32
2332,RIO GRANDE DO NORTE,2022-06-01,73.74
2333,PARAÍBA,2022-06-01,73.42
2334,PERNAMBUCO,2022-06-01,74.02
2335,ALAGOAS,2022-06-01,72.42
2336,SERGIPE,2022-06-01,74.25
2337,BAHIA,2022-06-01,73.54
2338,MINAS GERAIS,2022-06-01,70.48
2339,ESPÍRITO SANTO,2022-06-01,74.71
2340,RIO DE JANEIRO,2022-06-01,70.09
2341,SÃO PAULO,2022-06-01,62.44
2342,PARANÁ,2022-06-01,71.3
2343,SANTA CATARINA,2022-06-01,67.1
2344,RIO GRANDE DO SUL,2022-06-01,69.42
2345,MATO GROSSO DO SUL,2022-06-01,72.07
2346,MATO GROSSO,2022-06-01,71.86
2347,GOIÁS,2022-06-01,73.17
2348,DISTRITO FEDERAL,2022-06-01,68.34
2349,RONDÔNIA,2022-07-01,68.89
2350,ACRE,2022-07-01,79.78
2351,AMAZONAS,2022-07-01,74.17
2352,RORAIMA,2022-07-01,53.55
2353,PARÁ,2022-07-01,75.92
2354,AMAPÁ,2022-07-01,76.58
2355,TOCANTINS,2022-07-01,73.65
2356,MARANHÃO,2022-07-01,79.45
2357,PIAUÍ,2022-07-01,80.62
2358,CEARÁ,2022-07-01,78.85
2359,RIO GRANDE DO NORTE,2022-07-01,76.28
2360,PARAÍBA,2022-07-01,76.12
2361,PERNAMBUCO,2022-07-01,76.63
2362,ALAGOAS,2022-07-01,74.78
2363,SERGIPE,2022-07-01,76.84
2364,BAHIA,2022-07-01,76.28
2365,MINAS GERAIS,2022-07-01,72.45
2366,ESPÍRITO SANTO,2022-07-01,75.93
2367,RIO DE JANEIRO,2022-07-01,73.58
2368,SÃO PAULO,2022-07-01,64.42
2369,PARANÁ,2022-07-01,72.59
2370,SANTA CATARINA,2022-07-01,68.83
2371,RIO GRANDE DO SUL,2022-07-01,71.73
2372,MATO GROSSO DO SUL,2022-07-01,73.7
2373,MATO GROSSO,2022-07-01,73.85
2374,GOIÁS,2022-07-01,75.44
2375,DISTRITO FEDERAL,2022-07-01,73.25
2376,RONDÔNIA,2022-08-01,71.35
2377,ACRE,2022-08-01,82.08
2378,AMAZONAS,2022-08-01,77.73
2379,RORAIMA,2022-08-01,56.09
2380,PARÁ,2022-08-01,78.5
2381,AMAPÁ,2022-08-01,79.49
2382,TOCANTINS,2022-08-01,75.3
2383,MARANHÃO,2022-08-01,81.07
2384,PIAUÍ,2022-08-01,82.45
2385,CEARÁ,2022-08-01,80.85
2386,RIO GRANDE DO NORTE,2022-08-01,78.93
2387,PARAÍBA,2022-08-01,78.67
2388,PERNAMBUCO,2022-08-01,78.9
2389,ALAGOAS,2022-08-01,77.27
2390,SERGIPE,2022-08-01,79.85
2391,BAHIA,2022-08-01,79.15
2392,MINAS GERAIS,2022-08-01,74.47
2393,ESPÍRITO SANTO,2022-08-01,77.34
2394,RIO DE JANEIRO,2022-08-01,76.75
2395,SÃO PAULO,2022-08-01,66.88
2396,PARANÁ,2022-08-01,74.07
2397,SANTA CATARINA,2022-08-01,70.58
2398,RIO GRANDE DO SUL,2022-08-01,74.71
2399,MATO GROSSO DO SUL,2022-08-01,75.7
2400,MATO GROSSO,2022-08-01,75.4
2401,GOIÁS,2022-08-01,77.61
2402,DISTRITO FEDERAL,2022-08-01,76.96
2403,RONDÔNIA,2022-09-01,72.71
2404,ACRE,2022-09-01,83.12
2405,AMAZONAS,2022-09-01,79.68
2406,RORAIMA,2022-09-01,58.85
2407,PARÁ,2022-09-01,80.15
2408,AMAPÁ,2022-09-01,81.46
2409,TOCANTINS,2022-09-01,76.31
2410,MARANHÃO,2022-09-01,82.06
2411,PIAUÍ,2022-09-01,83.35
2412,CEARÁ,2022-09-01,81.83
2413,RIO GRANDE DO NORTE,2022-09-01,80.46
2414,PARAÍBA,2022-09-01,80.12
2415,PERNAMBUCO,2022-09-01,80.45
2416,ALAGOAS,2022-09-01,79.29
2417,SERGIPE,2022-09-01,81.22
2418,BAHIA,2022-09-01,80.71
2419,MINAS GERAIS,2022-09-01,75.65
2420,ESPÍRITO SANTO,2022-09-01,78.3
2421,RIO DE JANEIRO,2022-09-01,78.23
2422,SÃO PAULO,2022-09-01,68.79
2423,PARANÁ,2022-09-01,75.17
2424,SANTA CATARINA,2022-09-01,71.92
2425,RIO GRANDE DO SUL,2022-09-01,76.46
2426,MATO GROSSO DO SUL,2022-09-01,77.13
2427,MATO GROSSO,2022-09-01,76.44
2428,GOIÁS,2022-09-01,79.02
2429,DISTRITO FEDERAL,2022-09-01,79.89
2430,RONDÔNIA,2022-10-01,74.14
2431,ACRE,2022-10-01,83.98
2432,AMAZONAS,2022-10-01,82.13
2433,RORAIMA,2022-10-01,61.47
2434,PARÁ,2022-10-01,81.52
2435,AMAPÁ,2022-10-01,82.5
2436,TOCANTINS,2022-10-01,77.35
2437,MARANHÃO,2022-10-01,82.68
2438,PIAUÍ,2022-10-01,84.59
2439,CEARÁ,2022-10-01,82.95
2440,RIO GRANDE DO NORTE,2022-10-01,82.04
2441,PARAÍBA,2022-10-01,81.53
2442,PERNAMBUCO,2022-10-01,81.84
2443,ALAGOAS,2022-10-01,81.28
2444,SERGIPE,2022-10-01,82.5
2445,BAHIA,2022-10-01,82.08
2446,MINAS GERAIS,2022-10-01,76.79
2447,ESPÍRITO SANTO,2022-10-01,79.12
2448,RIO DE JANEIRO,2022-10-01,80.54
2449,SÃO PAULO,2022-10-01,70.84
2450,PARANÁ,2022-10-01,76.24
2451,SANTA CATARINA,2022-10-01,73.42
2452,RIO GRANDE DO SUL,2022-10-01,78.07
2453,MATO GROSSO DO SUL,2022-10-01,78.16
2454,MATO GROSSO,2022-10-01,77.47
2455,GOIÁS,2022-10-01,80.2
2456,DISTRITO FEDERAL,2022-10-01,83.3
