,Unidade Territorial,Referência,TAC
301,PARÁ,2016-03-01,76.69
302,AMAPÁ,2016-03-01,82.55
303,TOCANTINS,2016-03-01,76.93
304,MARANHÃO,2016-03-01,73.26
305,PIAUÍ,2016-03-01,73.96
306,CEARÁ,2016-03-01,77.44
307,RIO GRANDE DO NORTE,2016-03-01,75.05
308,PARAÍBA,2016-03-01,76.08
309,PERNAMBUCO,2016-03-01,77.51
310,ALAGOAS,2016-03-01,72.74
311,SERGIPE,2016-03-01,75.48
312,BAHIA,2016-03-01,77.24
313,MINAS GERAIS,2016-03-01,72.03
314,ESPÍRITO SANTO,2016-03-01,68.57
315,RIO DE JANEIRO,2016-03-01,68.6
316,SÃO PAULO,2016-03-01,67.91
317,PARANÁ,2016-03-01,72.14
318,SANTA CATARINA,2016-03-01,64.95
319,RIO GRANDE DO SUL,2016-03-01,67.65
320,MATO GROSSO DO SUL,2016-03-01,69.21
321,MATO GROSSO,2016-03-01,70.27
322,GOIÁS,2016-03-01,69.99
323,DISTRITO FEDERAL,2016-03-01,51.77
324,RONDÔNIA,2016-04-01,65.06
325,ACRE,2016-04-01,78.12
326,AMAZONAS,2016-04-01,74.08
327,RORAIMA,2016-04-01,82.92
328,PARÁ,2016-04-01,74.83
329,AMAPÁ,2016-04-01,80.77
330,TOCANTINS,2016-04-01,75.46
331,MARANHÃO,2016-04-01,71.43
332,PIAUÍ,2016-04-01,72.43
333,CEARÁ,2016-04-01,76.13
334,RIO GRANDE DO NORTE,2016-04-01,73.26
335,PARAÍBA,2016-04-01,74.9
336,PERNAMBUCO,2016-04-01,76.21
337,ALAGOAS,2016-04-01,71.6
338,SERGIPE,2016-04-01,74.06
339,BAHIA,2016-04-01,75.85
340,MINAS GERAIS,2016-04-01,70.67
341,ESPÍRITO SANTO,2016-04-01,67.14
342,RIO DE JANEIRO,2016-04-01,67.11
343,SÃO PAULO,2016-04-01,66.74
344,PARANÁ,2016-04-01,71.08
345,SANTA CATARINA,2016-04-01,63.71
346,RIO GRANDE DO SUL,2016-04-01,66.22
347,MATO GROSSO DO SUL,2016-04-01,67.56
348,MATO GROSSO,2016-04-01,68.77
349,GOIÁS,2016-04-01,68.1
350,DISTRITO FEDERAL,2016-04-01,51.84
351,RONDÔNIA,2016-05-01,64.2
352,ACRE,2016-05-01,77.9
353,AMAZONAS,2016-05-01,73.23
354,RORAIMA,2016-05-01,82.46
355,PARÁ,2016-05-01,74.18
356,AMAPÁ,2016-05-01,79.58
357,TOCANTINS,2016-05-01,74.88
358,MARANHÃO,2016-05-01,71.03
359,PIAUÍ,2016-05-01,72.12
360,CEARÁ,2016-05-01,75.88
361,RIO GRANDE DO NORTE,2016-05-01,72.62
362,PARAÍBA,2016-05-01,74.51
363,PERNAMBUCO,2016-05-01,75.87
364,ALAGOAS,2016-05-01,71.67
365,SERGIPE,2016-05-01,73.67
366,BAHIA,2016-05-01,75.43
367,MINAS GERAIS,2016-05-01,70.21
368,ESPÍRITO SANTO,2016-05-01,66.7
369,RIO DE JANEIRO,2016-05-01,66.79
