"Código","Unidade Territorial","Referência","Quantidade total de famílias com cadastro atualizado","Média geral de atualização de todo o cadastro","Quantidade de famílias em situação de pobreza, segundo a faixa do Programa Bolsa Família*, com cadastro atualizado","Quantidade de famílias de baixa renda** com cadastro atualizado","Quantidade de famílias com renda per capita mensal até meio salário mínimo (Pobreza + Baixa renda) com cadastro atualizado","Quantidade de famílias com renda per capita mensal maior que meio salário-mínimo*** com cadastro atualizado","Quantidade de famílias com renda zero com cadastro atualizado","TAC - Taxa de atualização cadastral das famílias com renda per capita mensal até meio salário mínimo (Pobreza + Baixa renda)"
"26","PERNAMBUCO","09/2015","1378173","75,90","1032574","236379","1268953","109220","114898","76,85"
"27","ALAGOAS","09/2015","461032","70,20","351562","74882","426444","34588","30967","71,34"
"28","SERGIPE","09/2015","331009","75,32","246506","56227","302733","28276","11463","76,64"
"29","BAHIA","09/2015","2265140","75,42","1665907","369784","2035691","229449","200520","77,21"
"31","MINAS GERAIS","09/2015","1780427","68,92","939229","523826","1463055","317372","135049","70,43"
"32","ESPÍRITO SANTO","09/2015","302116","66,98","157207","89687","246894","55222","21372","67,38"
"33","RIO DE JANEIRO","09/2015","1028876","65,49","678234","221539","899773","129103","116078","66,25"
"35","SÃO PAULO","09/2015","2313061","65,98","1204844","655368","1860212","452849","197133","65,81"
"41","PARANÁ","09/2015","823712","67,57","324759","301734","626493","197219","45774","68,83"
"42","SANTA CATARINA","09/2015","273156","59,87","103440","85306","188746","84410","18286","60,30"
"43","RIO GRANDE DO SUL","09/2015","722418","66,05","356008","197989","553997","168421","66181","66,89"
"50","MATO GROSSO DO SUL","09/2015","289644","68,59","125314","84668","209982","79662","19471","70,35"
"51","MATO GROSSO","09/2015","331746","68,18","156640","94553","251193","80553","18276","68,85"
"52","GOIÁS","09/2015","546736","66,65","293630","151670","445300","101436","21047","69,07"
"53","DISTRITO FEDERAL","09/2015","110103","47,68","68884","28555","97439","12664","6123","48,01"
"11","RONDÔNIA","10/2015","156754","64,84","87142","40977","128119","28635","4852","65,99"
"12","ACRE","10/2015","98217","79,38","79314","14118","93432","4785","18248","80,30"
"13","AMAZONAS","10/2015","429465","75,15","337516","63326","400842","28623","32603","76,75"
"14","RORAIMA","10/2015","71647","78,83","47539","14671","62210","9437","4680","79,35"
"15","PARÁ","10/2015","1057394","77,26","826430","147756","974186","83208","62814","78,30"
"16","AMAPÁ","10/2015","74966","80,58","60056","10096","70152","4814","7537","82,16"
"17","TOCANTINS","10/2015","206443","72,97","120824","51550","172374","34069","10501","74,51"
"21","MARANHÃO","10/2015","1051691","72,78","852941","117675","970616","81075","84863","74,42"
"22","PIAUÍ","10/2015","513838","72,85","403929","67645","471574","42264","56428","74,14"
"23","CEARÁ","10/2015","1376097","77,23","947314","300648","1247962","128135","68442","78,65"
"24","RIO GRANDE DO NORTE","10/2015","464038","73,81","317276","98072","415348","48690","40258","75,36"
"25","PARAÍBA","10/2015","601849","75,76","476666","81381","558047","43802","100989","77,36"
"26","PERNAMBUCO","10/2015","1388141","76,16","1036957","240955","1277912","110229","115586","77,20"
"27","ALAGOAS","10/2015","464235","70,47","353051","76053","429104","35131","31218","71,69"
"28","SERGIPE","10/2015","332504","75,40","247396","56874","304270","28234","11184","76,89"
"29","BAHIA","10/2015","2278969","75,57","1671576","376321","2047897","231072","201377","77,49"
"31","MINAS GERAIS","10/2015","1787627","68,83","941725","527458","1469183","318444","136049","70,52"
"32","ESPÍRITO SANTO","10/2015","302751","66,73","157426","90059","247485","55266","21696","67,27"
"33","RIO DE JANEIRO","10/2015","1038419","65,66","682583","224396","906979","131440","117062","66,51"
"35","SÃO PAULO","10/2015","2335626","65,92","1210716","661875","1872591","463035","199547","65,78"
"41","PARANÁ","10/2015","826118","67,32","324617","303806","628423","197695","46410","68,78"
"42","SANTA CATARINA","10/2015","272940","59,52","103587","85327","188914","84026","18479","60,21"
"43","RIO GRANDE DO SUL","10/2015","722540","65,75","355535","198860","554395","168145","66165","66,78"
"50","MATO GROSSO DO SUL","10/2015","288897","67,95","125287","84405","209692","79205","19272","70,02"
"51","MATO GROSSO","10/2015","334338","67,92","156280","95347","251627","82711","17932","68,70"
"52","GOIÁS","10/2015","548543","66,33","292680","153585","446265","102278","20578","68,85"
"53","DISTRITO FEDERAL","10/2015","110824","47,79","69130","28783","97913","12911","6262","48,13"
"11","RONDÔNIA","11/2015","160015","65,84","88163","42130","130293","29722","4837","66,99"
"12","ACRE","11/2015","99515","80,11","80298","14300","94598","4917","18671","81,05"
"13","AMAZONAS","11/2015","437131","76,12","343142","64189","407331","29800","33211","77,74"
"14","RORAIMA","11/2015","73488","80,01","48424","15173","63597","9891","4704","80,57"
"15","PARÁ","11/2015","1081747","78,57","842740","152571","995311","86436","63874","79,66"
"16","AMAPÁ","11/2015","76324","81,48","61052","10353","71405","4919","7540","83,11"
"17","TOCANTINS","11/2015","210695","74,01","122600","52880","175480","35215","10615","75,58"
"21","MARANHÃO","11/2015","1075773","74,19","871358","120740","992098","83675","86660","75,91"
"22","PIAUÍ","11/2015","522810","73,93","410657","68758","479415","43395","57539","75,27"
"23","CEARÁ","11/2015","1402330","78,44","963792","307209","1271001","131329","70128","79,93"
"24","RIO GRANDE DO NORTE","11/2015","472463","74,93","322631","99978","422609","49854","41016","76,56"
"25","PARAÍBA","11/2015","614055","76,83","483028","83516","566544","47511","102481","78,38"
"26","PERNAMBUCO","11/2015","1415418","77,37","1055302","246861","1302163","113255","118205","78,48"
"27","ALAGOAS","11/2015","474531","71,76","359691","78218","437909","36622","32339","73,02"
"28","SERGIPE","11/2015","338417","76,45","251283","58055","309338","29079","11401","77,98"
"29","BAHIA","11/2015","2324893","76,77","1700709","386483","2087192","237701","204999","78,76"
"31","MINAS GERAIS","11/2015","1822732","69,86","957851","538288","1496139","326593","139487","71,62"
"32","ESPÍRITO SANTO","11/2015","309457","67,83","160465","92461","252926","56531","22443","68,46"
"33","RIO DE JANEIRO","11/2015","1067505","67,02","700240","230762","931002","136503","120808","67,94"
"35","SÃO PAULO","11/2015","2408266","67,23","1240917","682252","1923169","485097","206269","67,11"
"41","PARANÁ","11/2015","844670","68,45","329815","311202","641017","203653","47802","69,98"
"42","SANTA CATARINA","11/2015","278947","60,62","105566","87214","192780","86167","19073","61,41"
"43","RIO GRANDE DO SUL","11/2015","736711","66,71","361962","202808","564770","171941","67626","67,85"
"50","MATO GROSSO DO SUL","11/2015","294436","68,77","127128","85767","212895","81541","19534","70,86"
"51","MATO GROSSO","11/2015","341085","68,85","158278","97625","255903","85182","17995","69,68"
"52","GOIÁS","11/2015","561528","67,39","297342","158014","455356","106172","20897","69,93"
"53","DISTRITO FEDERAL","11/2015","112971","48,59","70106","29528","99634","13337","6387","48,94"
"11","RONDÔNIA","12/2015","156087","63,74","85364","41556","126920","29167","4475","65,07"
"12","ACRE","12/2015","97173","77,80","78928","13604","92532","4641","18657","78,91"
"13","AMAZONAS","12/2015","427328","73,98","336588","61727","398315","29013","32838","75,70"
"14","RORAIMA","12/2015","72144","77,99","47497","14895","62392","9752","4498","78,65"
"15","PARÁ","12/2015","1054476","75,94","817529","150768","968297","86179","60966","77,02"
"16","AMAPÁ","12/2015","74955","79,36","60673","9913","70586","4369","7334","81,49"
"17","TOCANTINS","12/2015","208134","72,57","121203","52123","173326","34808","10311","74,43"
"21","MARANHÃO","12/2015","1046246","71,80","849309","117110","966419","79827","83225","73,70"
"22","PIAUÍ","12/2015","509963","71,84","400980","66864","467844","42119","56511","73,32"
"23","CEARÁ","12/2015","1372297","76,46","943498","300228","1243726","128571","69156","78,04"
"24","RIO GRANDE DO NORTE","12/2015","461633","72,94","316513","97202","413715","47918","40295","74,78"
"25","PARAÍBA","12/2015","597455","74,43","469317","81210","550527","46928","100837","75,97"
"26","PERNAMBUCO","12/2015","1392696","75,77","1036661","244311","1280972","111724","116698","76,94"
"27","ALAGOAS","12/2015","464607","69,97","351900","76420","428320","36287","32088","71,27"
"28","SERGIPE","12/2015","331356","74,50","245861","56750","302611","28745","11105","76,08"
"29","BAHIA","12/2015","2280007","74,93","1667511","379982","2047493","232514","201092","77,00"
"31","MINAS GERAIS","12/2015","1782678","67,97","938667","523613","1462280","320398","138856","69,83"
"32","ESPÍRITO SANTO","12/2015","304140","66,19","157750","90623","248373","55767","22677","66,88"
"33","RIO DE JANEIRO","12/2015","1053072","65,62","691174","225995","917169","135903","121258","66,61"
"35","SÃO PAULO","12/2015","2376777","65,60","1217869","669011","1886880","489897","205888","65,39"
"41","PARANÁ","12/2015","830064","66,76","325278","305010","630288","199776","48387","68,50"
"42","SANTA CATARINA","12/2015","273441","59,28","104108","85006","189114","84327","19306","60,25"
"43","RIO GRANDE DO SUL","12/2015","703238","63,29","350712","192203","542915","160323","65866","65,04"
"50","MATO GROSSO DO SUL","12/2015","285278","66,12","124327","82396","206723","78555","19096","68,59"
"51","MATO GROSSO","12/2015","332195","66,55","154489","94941","249430","82765","17334","67,73"
"52","GOIÁS","12/2015","548517","65,31","291109","153649","444758","103759","20222","68,00"
"53","DISTRITO FEDERAL","12/2015","110796","47,37","68390","28947","97337","13459","6385","47,67"
"11","RONDÔNIA","01/2016","155672","67,80","84867","41467","126334","29338","4404","67,57"
"12","ACRE","01/2016","96915","80,10","78886","13460","92346","4569","18793","80,55"
"13","AMAZONAS","01/2016","426980","77,01","336158","61455","397613","29367","32931","77,79"
"14","RORAIMA","01/2016","72813","82,53","47896","15015","62911","9902","4504","81,78"
"15","PARÁ","01/2016","1055052","77,95","817336","150937","968273","86779","60405","78,29"
"16","AMAPÁ","01/2016","74875","81,87","60693","9833","70526","4349","7304","83,44"
"17","TOCANTINS","01/2016","208629","76,81","121177","52182","173359","35270","10268","77,21"
"21","MARANHÃO","01/2016","1045420","73,36","848558","117026","965584","79836","83322","74,62"
"22","PIAUÍ","01/2016","510268","74,73","401079","66870","467949","42319","56655","75,37"
"23","CEARÁ","01/2016","1366472","78,28","939664","298061","1237725","128747","68981","78,77"
"24","RIO GRANDE DO NORTE","01/2016","459910","75,17","315430","96456","411886","48024","40217","75,89"
"25","PARAÍBA","01/2016","596445","76,25","467872","81080","548952","47493","100881","77,01"
"26","PERNAMBUCO","01/2016","1390745","77,87","1034064","244006","1278070","112675","117175","78,29"
"27","ALAGOAS","01/2016","464930","72,66","351244","76773","428017","36913","32084","73,40"
"28","SERGIPE","01/2016","329619","75,77","244254","56475","300729","28890","11027","76,39"
"29","BAHIA","01/2016","2276958","76,77","1662389","380096","2042485","234473","200371","77,96"
"31","MINAS GERAIS","01/2016","1779976","72,04","935977","520827","1456804","323172","139638","72,01"
"32","ESPÍRITO SANTO","01/2016","303630","69,88","157378","90335","247713","55917","22655","68,84"
"33","RIO DE JANEIRO","01/2016","1052957","69,03","689831","224962","914793","138164","121857","68,64"
"35","SÃO PAULO","01/2016","2379233","69,36","1215797","666382","1882179","497054","207213","67,18"
"41","PARANÁ","01/2016","830209","71,53","325251","304491","629742","200467","48742","70,40"
"42","SANTA CATARINA","01/2016","273018","64,83","103932","84823","188755","84263","19352","63,46"
"43","RIO GRANDE DO SUL","01/2016","699552","67,33","348409","190627","539036","160516","65482","67,25"
"50","MATO GROSSO DO SUL","01/2016","284443","68,53","123967","81823","205790","78653","19096","68,56"
"51","MATO GROSSO","01/2016","331641","70,70","153722","94592","248314","83327","17133","69,65"
"52","GOIÁS","01/2016","547125","69,91","289965","152619","442584","104541","20144","70,62"
"53","DISTRITO FEDERAL","01/2016","111754","52,04","68544","29343","97887","13867","6493","51,19"
"11","RONDÔNIA","02/2016","153518","66,46","83078","44152","127230","26288","4226","67,86"
"12","ACRE","02/2016","95877","78,95","78248","13736","91984","3893","18991","79,97"
"13","AMAZONAS","02/2016","421695","75,66","332111","63340","395451","26244","33021","77,05"
"14","RORAIMA","02/2016","73930","83,01","48593","16243","64836","9094","4554","83,68"
"15","PARÁ","02/2016","1042758","76,65","807170","157337","964507","78251","59519","77,65"
"16","AMAPÁ","02/2016","74618","81,09","60629","10207","70836","3782","7438","83,31"
"17","TOCANTINS","02/2016","207296","75,85","120248","54856","175104","32192","10173","77,67"
"21","MARANHÃO","02/2016","1032174","72,07","837489","121684","959173","73001","82347","73,81"
"22","PIAUÍ","02/2016","503974","73,46","396735","69313","466048","37926","56446","74,78"
"23","CEARÁ","02/2016","1347455","76,86","926500","306315","1232815","114640","68397","78,23"
"24","RIO GRANDE DO NORTE","02/2016","454806","74,08","312481","99413","411894","42912","39797","75,72"
"25","PARAÍBA","02/2016","591193","75,24","463769","83950","547719","43474","100729","76,58"
"26","PERNAMBUCO","02/2016","1378489","76,87","1024281","252300","1276581","101908","117739","77,95"
"27","ALAGOAS","02/2016","461887","71,88","348607","79058","427665","34222","32123","73,13"
"28","SERGIPE","02/2016","326319","74,64","241911","58536","300447","25872","11042","76,04"
"29","BAHIA","02/2016","2258226","75,81","1647531","395618","2043149","215077","199494","77,72"
