,Unidade Territorial,Referência,Percentual fam unip pbf
1854,RIO DE JANEIRO,2022-09-01,35.17
1855,SÃO PAULO,2022-09-01,25.39
1856,PARANÁ,2022-09-01,21.62
1857,SANTA CATARINA,2022-09-01,20.58
1858,RIO GRANDE DO SUL,2022-09-01,24.91
1859,MATO GROSSO DO SUL,2022-09-01,21.15
1860,MATO GROSSO,2022-09-01,20.7
1861,GOIÁS,2022-09-01,17.54
1862,DISTRITO FEDERAL,2022-09-01,21.48
1863,RONDÔNIA,2022-10-01,13.65
1864,ACRE,2022-10-01,15.91
1865,AMAZONAS,2022-10-01,18.74
1866,RORAIMA,2022-10-01,19.76
1867,PARÁ,2022-10-01,19.87
1868,AMAPÁ,2022-10-01,19.78
1869,TOCANTINS,2022-10-01,16.26
1870,MARANHÃO,2022-10-01,19.89
1871,PIAUÍ,2022-10-01,29.35
1872,CEARÁ,2022-10-01,25.28
1873,RIO GRANDE DO NORTE,2022-10-01,26.11
1874,PARAÍBA,2022-10-01,29.45
1875,PERNAMBUCO,2022-10-01,33.53
1876,ALAGOAS,2022-10-01,25.86
1877,SERGIPE,2022-10-01,34.11
1878,BAHIA,2022-10-01,30.36
1879,MINAS GERAIS,2022-10-01,24.56
1880,ESPÍRITO SANTO,2022-10-01,22.07
1881,RIO DE JANEIRO,2022-10-01,35.47
1882,SÃO PAULO,2022-10-01,25.63
1883,PARANÁ,2022-10-01,21.98
1884,SANTA CATARINA,2022-10-01,20.68
1885,RIO GRANDE DO SUL,2022-10-01,25.3
1886,MATO GROSSO DO SUL,2022-10-01,21.34
1887,MATO GROSSO,2022-10-01,20.99
1888,GOIÁS,2022-10-01,17.76
1889,DISTRITO FEDERAL,2022-10-01,21.49
1890,RONDÔNIA,2022-11-01,13.96
1891,ACRE,2022-11-01,16.2
1892,AMAZONAS,2022-11-01,19.74
1893,RORAIMA,2022-11-01,19.9
1894,PARÁ,2022-11-01,20.5
1895,AMAPÁ,2022-11-01,20.08
1896,TOCANTINS,2022-11-01,16.28
1897,MARANHÃO,2022-11-01,20.35
1898,PIAUÍ,2022-11-01,29.69
1899,CEARÁ,2022-11-01,25.72
1900,RIO GRANDE DO NORTE,2022-11-01,26.51
1901,PARAÍBA,2022-11-01,29.88
1902,PERNAMBUCO,2022-11-01,33.96
1903,ALAGOAS,2022-11-01,26.36
1904,SERGIPE,2022-11-01,34.36
1905,BAHIA,2022-11-01,30.69
1906,MINAS GERAIS,2022-11-01,24.85
1907,ESPÍRITO SANTO,2022-11-01,22.24
1908,RIO DE JANEIRO,2022-11-01,36.12
1909,SÃO PAULO,2022-11-01,25.94
1910,PARANÁ,2022-11-01,22.13
1911,SANTA CATARINA,2022-11-01,20.88
1912,RIO GRANDE DO SUL,2022-11-01,25.77
1913,MATO GROSSO DO SUL,2022-11-01,21.39
1914,MATO GROSSO,2022-11-01,21.06
1915,GOIÁS,2022-11-01,17.87
1916,DISTRITO FEDERAL,2022-11-01,22.02
1917,RONDÔNIA,2022-12-01,14.09
1918,ACRE,2022-12-01,16.27
1919,AMAZONAS,2022-12-01,19.83
1920,RORAIMA,2022-12-01,20.19
1921,PARÁ,2022-12-01,20.6
1922,AMAPÁ,2022-12-01,20.29
1923,TOCANTINS,2022-12-01,16.4
1924,MARANHÃO,2022-12-01,20.45
1925,PIAUÍ,2022-12-01,29.65
1926,CEARÁ,2022-12-01,25.85
1927,RIO GRANDE DO NORTE,2022-12-01,26.55
1928,PARAÍBA,2022-12-01,29.95
1929,PERNAMBUCO,2022-12-01,34.13
1930,ALAGOAS,2022-12-01,26.6
1931,SERGIPE,2022-12-01,34.42
1932,BAHIA,2022-12-01,30.82
1933,MINAS GERAIS,2022-12-01,25.02
1934,ESPÍRITO SANTO,2022-12-01,22.41
1935,RIO DE JANEIRO,2022-12-01,36.45
1936,SÃO PAULO,2022-12-01,26.12
1937,PARANÁ,2022-12-01,22.13
1938,SANTA CATARINA,2022-12-01,20.91
1939,RIO GRANDE DO SUL,2022-12-01,26.02
1940,MATO GROSSO DO SUL,2022-12-01,21.59
1941,MATO GROSSO,2022-12-01,21.12
1942,GOIÁS,2022-12-01,17.96
1943,DISTRITO FEDERAL,2022-12-01,22.21
1944,RONDÔNIA,2023-01-01,14.0
1945,ACRE,2023-01-01,16.09
1946,AMAZONAS,2023-01-01,19.64
1947,RORAIMA,2023-01-01,20.09
1948,PARÁ,2023-01-01,20.49
1949,AMAPÁ,2023-01-01,20.08
1950,TOCANTINS,2023-01-01,16.29
1951,MARANHÃO,2023-01-01,20.31
1952,PIAUÍ,2023-01-01,29.46
1953,CEARÁ,2023-01-01,25.77
1954,RIO GRANDE DO NORTE,2023-01-01,26.46
1955,PARAÍBA,2023-01-01,29.83
1956,PERNAMBUCO,2023-01-01,34.0
1957,ALAGOAS,2023-01-01,26.53
1958,SERGIPE,2023-01-01,34.28
1959,BAHIA,2023-01-01,30.74
1960,MINAS GERAIS,2023-01-01,24.92
1961,ESPÍRITO SANTO,2023-01-01,22.32
1962,RIO DE JANEIRO,2023-01-01,36.39
1963,SÃO PAULO,2023-01-01,26.03
1964,PARANÁ,2023-01-01,22.02
1965,SANTA CATARINA,2023-01-01,20.82
1966,RIO GRANDE DO SUL,2023-01-01,25.93
1967,MATO GROSSO DO SUL,2023-01-01,21.49
1968,MATO GROSSO,2023-01-01,20.98
1969,GOIÁS,2023-01-01,17.83
1970,DISTRITO FEDERAL,2023-01-01,22.1
1971,RONDÔNIA,2023-02-01,13.46
1972,ACRE,2023-02-01,15.13
1973,AMAZONAS,2023-02-01,18.68
1974,RORAIMA,2023-02-01,18.89
1975,PARÁ,2023-02-01,19.68
1976,AMAPÁ,2023-02-01,18.89
1977,TOCANTINS,2023-02-01,15.53
1978,MARANHÃO,2023-02-01,19.49
1979,PIAUÍ,2023-02-01,28.37
1980,CEARÁ,2023-02-01,24.86
1981,RIO GRANDE DO NORTE,2023-02-01,25.64
1982,PARAÍBA,2023-02-01,28.81
1983,PERNAMBUCO,2023-02-01,32.85
1984,ALAGOAS,2023-02-01,25.57
1985,SERGIPE,2023-02-01,33.09
1986,BAHIA,2023-02-01,29.76
1987,MINAS GERAIS,2023-02-01,24.2
1988,ESPÍRITO SANTO,2023-02-01,21.42
1989,RIO DE JANEIRO,2023-02-01,35.53
1990,SÃO PAULO,2023-02-01,25.53
1991,PARANÁ,2023-02-01,21.48
1992,SANTA CATARINA,2023-02-01,20.33
1993,RIO GRANDE DO SUL,2023-02-01,25.37
1994,MATO GROSSO DO SUL,2023-02-01,20.43
1995,MATO GROSSO,2023-02-01,19.97
1996,GOIÁS,2023-02-01,17.09
1997,DISTRITO FEDERAL,2023-02-01,20.9
1998,RONDÔNIA,2023-03-01,13.33
1999,ACRE,2023-03-01,14.91
2000,AMAZONAS,2023-03-01,18.4
2001,RORAIMA,2023-03-01,18.56
2002,PARÁ,2023-03-01,19.46
2003,AMAPÁ,2023-03-01,18.6
2004,TOCANTINS,2023-03-01,15.36
2005,MARANHÃO,2023-03-01,19.28
2006,PIAUÍ,2023-03-01,28.13
2007,CEARÁ,2023-03-01,24.81
2008,RIO GRANDE DO NORTE,2023-03-01,25.55
2009,PARAÍBA,2023-03-01,28.66
2010,PERNAMBUCO,2023-03-01,32.69
2011,ALAGOAS,2023-03-01,25.57
2012,SERGIPE,2023-03-01,32.92
2013,BAHIA,2023-03-01,29.63
2014,MINAS GERAIS,2023-03-01,24.02
2015,ESPÍRITO SANTO,2023-03-01,21.25
2016,RIO DE JANEIRO,2023-03-01,35.4
2017,SÃO PAULO,2023-03-01,25.41
2018,PARANÁ,2023-03-01,21.32
2019,SANTA CATARINA,2023-03-01,20.09
2020,RIO GRANDE DO SUL,2023-03-01,25.23
2021,MATO GROSSO DO SUL,2023-03-01,20.16
2022,MATO GROSSO,2023-03-01,19.68
2023,GOIÁS,2023-03-01,16.93
2024,DISTRITO FEDERAL,2023-03-01,20.75
2025,RONDÔNIA,2023-04-01,12.92
2026,ACRE,2023-04-01,14.45
2027,AMAZONAS,2023-04-01,17.65
2028,RORAIMA,2023-04-01,17.74
2029,PARÁ,2023-04-01,18.91
2030,AMAPÁ,2023-04-01,17.71
2031,TOCANTINS,2023-04-01,14.93
2032,MARANHÃO,2023-04-01,18.76
2033,PIAUÍ,2023-04-01,27.54
2034,CEARÁ,2023-04-01,24.31
2035,RIO GRANDE DO NORTE,2023-04-01,25.07
2036,PARAÍBA,2023-04-01,28.18
2037,PERNAMBUCO,2023-04-01,32.14
2038,ALAGOAS,2023-04-01,25.13
2039,SERGIPE,2023-04-01,32.33
2040,BAHIA,2023-04-01,29.16
2041,MINAS GERAIS,2023-04-01,23.46
2042,ESPÍRITO SANTO,2023-04-01,20.82
2043,RIO DE JANEIRO,2023-04-01,34.91
2044,SÃO PAULO,2023-04-01,24.91
2045,PARANÁ,2023-04-01,20.84
2046,SANTA CATARINA,2023-04-01,19.57
2047,RIO GRANDE DO SUL,2023-04-01,24.8
2048,MATO GROSSO DO SUL,2023-04-01,19.54
2049,MATO GROSSO,2023-04-01,19.14
2050,GOIÁS,2023-04-01,16.3
2051,DISTRITO FEDERAL,2023-04-01,20.14
2052,RONDÔNIA,2023-05-01,12.82
2053,ACRE,2023-05-01,14.12
2054,AMAZONAS,2023-05-01,17.19
2055,RORAIMA,2023-05-01,17.49
2056,PARÁ,2023-05-01,18.54
2057,AMAPÁ,2023-05-01,17.3
2058,TOCANTINS,2023-05-01,14.69
2059,MARANHÃO,2023-05-01,18.34
2060,PIAUÍ,2023-05-01,27.12
2061,CEARÁ,2023-05-01,24.02
2062,RIO GRANDE DO NORTE,2023-05-01,24.79
2063,PARAÍBA,2023-05-01,27.85
2064,PERNAMBUCO,2023-05-01,31.81
2065,ALAGOAS,2023-05-01,24.7
2066,SERGIPE,2023-05-01,32.0
2067,BAHIA,2023-05-01,28.85
2068,MINAS GERAIS,2023-05-01,23.22
2069,ESPÍRITO SANTO,2023-05-01,20.7
2070,RIO DE JANEIRO,2023-05-01,34.67
2071,SÃO PAULO,2023-05-01,24.72
2072,PARANÁ,2023-05-01,20.64
2073,SANTA CATARINA,2023-05-01,19.38
2074,RIO GRANDE DO SUL,2023-05-01,24.55
2075,MATO GROSSO DO SUL,2023-05-01,19.25
2076,MATO GROSSO,2023-05-01,18.84
2077,GOIÁS,2023-05-01,16.14
2078,DISTRITO FEDERAL,2023-05-01,19.97
2079,RONDÔNIA,2023-06-01,11.93
2080,ACRE,2023-06-01,12.51
2081,AMAZONAS,2023-06-01,15.66
2082,RORAIMA,2023-06-01,16.41
2083,PARÁ,2023-06-01,17.21
2084,AMAPÁ,2023-06-01,16.3
2085,TOCANTINS,2023-06-01,14.14
2086,MARANHÃO,2023-06-01,16.98
2087,PIAUÍ,2023-06-01,25.93
2088,CEARÁ,2023-06-01,23.11
2089,RIO GRANDE DO NORTE,2023-06-01,23.81
2090,PARAÍBA,2023-06-01,26.88
2091,PERNAMBUCO,2023-06-01,30.84
2092,ALAGOAS,2023-06-01,23.5
2093,SERGIPE,2023-06-01,30.85
2094,BAHIA,2023-06-01,27.54
2095,MINAS GERAIS,2023-06-01,22.08
2096,ESPÍRITO SANTO,2023-06-01,19.31
2097,RIO DE JANEIRO,2023-06-01,33.1
2098,SÃO PAULO,2023-06-01,23.41
2099,PARANÁ,2023-06-01,19.66
2100,SANTA CATARINA,2023-06-01,18.07
2101,RIO GRANDE DO SUL,2023-06-01,23.32
2102,MATO GROSSO DO SUL,2023-06-01,18.3
2103,MATO GROSSO,2023-06-01,17.32
2104,GOIÁS,2023-06-01,15.27
2105,DISTRITO FEDERAL,2023-06-01,19.1
2106,RONDÔNIA,2023-07-01,11.96
2107,ACRE,2023-07-01,12.25
2108,AMAZONAS,2023-07-01,15.6
2109,RORAIMA,2023-07-01,15.66
2110,PARÁ,2023-07-01,17.05
2111,AMAPÁ,2023-07-01,16.27
2112,TOCANTINS,2023-07-01,14.11
2113,MARANHÃO,2023-07-01,16.82
2114,PIAUÍ,2023-07-01,25.61
2115,CEARÁ,2023-07-01,23.04
2116,RIO GRANDE DO NORTE,2023-07-01,23.62
2117,PARAÍBA,2023-07-01,26.77
2118,PERNAMBUCO,2023-07-01,30.66
2119,ALAGOAS,2023-07-01,23.41
2120,SERGIPE,2023-07-01,30.65
2121,BAHIA,2023-07-01,27.26
2122,MINAS GERAIS,2023-07-01,21.89
2123,ESPÍRITO SANTO,2023-07-01,19.12
2124,RIO DE JANEIRO,2023-07-01,32.93
2125,SÃO PAULO,2023-07-01,22.92
2126,PARANÁ,2023-07-01,19.36
2127,SANTA CATARINA,2023-07-01,17.83
2128,RIO GRANDE DO SUL,2023-07-01,22.91
2129,MATO GROSSO DO SUL,2023-07-01,18.13
2130,MATO GROSSO,2023-07-01,17.2
2131,GOIÁS,2023-07-01,15.03
2132,DISTRITO FEDERAL,2023-07-01,19.16
2133,RONDÔNIA,2023-08-01,11.37
2134,ACRE,2023-08-01,11.07
2135,AMAZONAS,2023-08-01,14.19
2136,RORAIMA,2023-08-01,15.09
2137,PARÁ,2023-08-01,16.07
2138,AMAPÁ,2023-08-01,15.65
2139,TOCANTINS,2023-08-01,13.6
2140,MARANHÃO,2023-08-01,15.86
2141,PIAUÍ,2023-08-01,24.69
2142,CEARÁ,2023-08-01,22.04
2143,RIO GRANDE DO NORTE,2023-08-01,22.63
2144,PARAÍBA,2023-08-01,25.73
2145,PERNAMBUCO,2023-08-01,29.42
2146,ALAGOAS,2023-08-01,22.41
2147,SERGIPE,2023-08-01,29.28
2148,BAHIA,2023-08-01,26.05
2149,MINAS GERAIS,2023-08-01,20.78
2150,ESPÍRITO SANTO,2023-08-01,17.7
2151,RIO DE JANEIRO,2023-08-01,31.08
2152,SÃO PAULO,2023-08-01,21.59
2153,PARANÁ,2023-08-01,18.44
2154,SANTA CATARINA,2023-08-01,16.71
2155,RIO GRANDE DO SUL,2023-08-01,21.3
2156,MATO GROSSO DO SUL,2023-08-01,17.08
2157,MATO GROSSO,2023-08-01,15.88
2158,GOIÁS,2023-08-01,14.16
2159,DISTRITO FEDERAL,2023-08-01,16.69
2160,RONDÔNIA,2023-09-01,10.81
2161,ACRE,2023-09-01,9.88
2162,AMAZONAS,2023-09-01,13.25
2163,RORAIMA,2023-09-01,14.36
2164,PARÁ,2023-09-01,14.95
2165,AMAPÁ,2023-09-01,14.86
2166,TOCANTINS,2023-09-01,12.95
2167,MARANHÃO,2023-09-01,14.61
2168,PIAUÍ,2023-09-01,23.34
2169,CEARÁ,2023-09-01,21.07
2170,RIO GRANDE DO NORTE,2023-09-01,21.54
2171,PARAÍBA,2023-09-01,24.59
2172,PERNAMBUCO,2023-09-01,28.1
2173,ALAGOAS,2023-09-01,20.94
2174,SERGIPE,2023-09-01,27.92
2175,BAHIA,2023-09-01,24.67
2176,MINAS GERAIS,2023-09-01,19.85
2177,ESPÍRITO SANTO,2023-09-01,16.7
2178,RIO DE JANEIRO,2023-09-01,29.19
2179,SÃO PAULO,2023-09-01,20.66
2180,PARANÁ,2023-09-01,17.84
2181,SANTA CATARINA,2023-09-01,16.1
2182,RIO GRANDE DO SUL,2023-09-01,20.52
2183,MATO GROSSO DO SUL,2023-09-01,16.51
2184,MATO GROSSO,2023-09-01,15.15
2185,GOIÁS,2023-09-01,13.5
2186,DISTRITO FEDERAL,2023-09-01,16.51
2187,RONDÔNIA,2023-10-01,10.54
2188,ACRE,2023-10-01,8.88
2189,AMAZONAS,2023-10-01,13.27
2190,RORAIMA,2023-10-01,13.77
2191,PARÁ,2023-10-01,14.14
2192,AMAPÁ,2023-10-01,13.99
2193,TOCANTINS,2023-10-01,12.31
2194,MARANHÃO,2023-10-01,13.64
2195,PIAUÍ,2023-10-01,22.11
2196,CEARÁ,2023-10-01,20.14
2197,RIO GRANDE DO NORTE,2023-10-01,20.61
2198,PARAÍBA,2023-10-01,23.54
2199,PERNAMBUCO,2023-10-01,26.9
2200,ALAGOAS,2023-10-01,19.91
2201,SERGIPE,2023-10-01,26.65
2202,BAHIA,2023-10-01,23.42
2203,MINAS GERAIS,2023-10-01,18.89
2204,ESPÍRITO SANTO,2023-10-01,15.63
2205,RIO DE JANEIRO,2023-10-01,27.61
2206,SÃO PAULO,2023-10-01,19.71
2207,PARANÁ,2023-10-01,17.19
2208,SANTA CATARINA,2023-10-01,15.95
2209,RIO GRANDE DO SUL,2023-10-01,19.45
2210,MATO GROSSO DO SUL,2023-10-01,15.67
2211,MATO GROSSO,2023-10-01,14.4
2212,GOIÁS,2023-10-01,13.19
2213,DISTRITO FEDERAL,2023-10-01,15.99
2214,RONDÔNIA,2023-11-01,10.46
2215,ACRE,2023-11-01,8.52
2216,AMAZONAS,2023-11-01,12.62
2217,RORAIMA,2023-11-01,12.95
2218,PARÁ,2023-11-01,13.75
2219,AMAPÁ,2023-11-01,13.65
2220,TOCANTINS,2023-11-01,11.94
2221,MARANHÃO,2023-11-01,13.22
2222,PIAUÍ,2023-11-01,21.48
2223,CEARÁ,2023-11-01,19.76
2224,RIO GRANDE DO NORTE,2023-11-01,20.16
2225,PARAÍBA,2023-11-01,22.86
2226,PERNAMBUCO,2023-11-01,26.21
2227,ALAGOAS,2023-11-01,19.21
2228,SERGIPE,2023-11-01,25.93
2229,BAHIA,2023-11-01,22.76
2230,MINAS GERAIS,2023-11-01,18.19
2231,ESPÍRITO SANTO,2023-11-01,15.26
2232,RIO DE JANEIRO,2023-11-01,26.83
2233,SÃO PAULO,2023-11-01,18.91
2234,PARANÁ,2023-11-01,16.84
2235,SANTA CATARINA,2023-11-01,15.01
2236,RIO GRANDE DO SUL,2023-11-01,18.9
2237,MATO GROSSO DO SUL,2023-11-01,15.26
2238,MATO GROSSO,2023-11-01,13.95
2239,GOIÁS,2023-11-01,13.16
2240,DISTRITO FEDERAL,2023-11-01,15.96
2241,RONDÔNIA,2023-12-01,10.6
2242,ACRE,2023-12-01,8.61
2243,AMAZONAS,2023-12-01,12.72
2244,RORAIMA,2023-12-01,13.03
2245,PARÁ,2023-12-01,13.88
2246,AMAPÁ,2023-12-01,13.86
2247,TOCANTINS,2023-12-01,12.02
2248,MARANHÃO,2023-12-01,13.45
2249,PIAUÍ,2023-12-01,21.68
2250,CEARÁ,2023-12-01,20.05
2251,RIO GRANDE DO NORTE,2023-12-01,20.5
2252,PARAÍBA,2023-12-01,23.01
2253,PERNAMBUCO,2023-12-01,26.41
2254,ALAGOAS,2023-12-01,19.58
2255,SERGIPE,2023-12-01,26.12
2256,BAHIA,2023-12-01,23.02
2257,MINAS GERAIS,2023-12-01,18.38
2258,ESPÍRITO SANTO,2023-12-01,15.47
2259,RIO DE JANEIRO,2023-12-01,27.11
2260,SÃO PAULO,2023-12-01,19.13
2261,PARANÁ,2023-12-01,16.99
2262,SANTA CATARINA,2023-12-01,15.12
2263,RIO GRANDE DO SUL,2023-12-01,19.11
2264,MATO GROSSO DO SUL,2023-12-01,15.37
2265,MATO GROSSO,2023-12-01,14.03
2266,GOIÁS,2023-12-01,13.28
2267,DISTRITO FEDERAL,2023-12-01,16.21
2268,RONDÔNIA,2024-01-01,11.23
2269,ACRE,2024-01-01,9.13
2270,AMAZONAS,2024-01-01,12.99
2271,RORAIMA,2024-01-01,13.71
2272,PARÁ,2024-01-01,14.37
2273,AMAPÁ,2024-01-01,14.17
2274,TOCANTINS,2024-01-01,12.61
2275,MARANHÃO,2024-01-01,13.98
2276,PIAUÍ,2024-01-01,22.04
2277,CEARÁ,2024-01-01,20.46
2278,RIO GRANDE DO NORTE,2024-01-01,20.92
2279,PARAÍBA,2024-01-01,23.34
2280,PERNAMBUCO,2024-01-01,26.78
2281,ALAGOAS,2024-01-01,20.14
2282,SERGIPE,2024-01-01,26.46
2283,BAHIA,2024-01-01,23.42
2284,MINAS GERAIS,2024-01-01,18.81
2285,ESPÍRITO SANTO,2024-01-01,16.21
2286,RIO DE JANEIRO,2024-01-01,27.49
2287,SÃO PAULO,2024-01-01,19.65
2288,PARANÁ,2024-01-01,17.35
2289,SANTA CATARINA,2024-01-01,15.56
2290,RIO GRANDE DO SUL,2024-01-01,19.53
2291,MATO GROSSO DO SUL,2024-01-01,15.8
2292,MATO GROSSO,2024-01-01,14.41
2293,GOIÁS,2024-01-01,14.02
2294,DISTRITO FEDERAL,2024-01-01,16.3
2295,RONDÔNIA,2024-02-01,11.2
2296,ACRE,2024-02-01,8.97
2297,AMAZONAS,2024-02-01,12.77
2298,RORAIMA,2024-02-01,13.4
2299,PARÁ,2024-02-01,14.19
2300,AMAPÁ,2024-02-01,13.93
2301,TOCANTINS,2024-02-01,12.39
2302,MARANHÃO,2024-02-01,13.92
2303,PIAUÍ,2024-02-01,21.78
2304,CEARÁ,2024-02-01,20.32
2305,RIO GRANDE DO NORTE,2024-02-01,20.81
2306,PARAÍBA,2024-02-01,23.03
2307,PERNAMBUCO,2024-02-01,26.52
2308,ALAGOAS,2024-02-01,19.96
2309,SERGIPE,2024-02-01,26.25
2310,BAHIA,2024-02-01,23.2
2311,MINAS GERAIS,2024-02-01,18.58
2312,ESPÍRITO SANTO,2024-02-01,16.03
2313,RIO DE JANEIRO,2024-02-01,27.16
2314,SÃO PAULO,2024-02-01,19.42
2315,PARANÁ,2024-02-01,17.16
2316,SANTA CATARINA,2024-02-01,15.4
2317,RIO GRANDE DO SUL,2024-02-01,19.27
2318,MATO GROSSO DO SUL,2024-02-01,15.46
2319,MATO GROSSO,2024-02-01,14.15
2320,GOIÁS,2024-02-01,13.66
2321,DISTRITO FEDERAL,2024-02-01,15.94
2322,RONDÔNIA,2024-03-01,11.27
2323,ACRE,2024-03-01,8.93
2324,AMAZONAS,2024-03-01,12.56
2325,RORAIMA,2024-03-01,13.53
2326,PARÁ,2024-03-01,13.89
2327,AMAPÁ,2024-03-01,13.61
2328,TOCANTINS,2024-03-01,12.12
2329,MARANHÃO,2024-03-01,13.69
2330,PIAUÍ,2024-03-01,20.93
2331,CEARÁ,2024-03-01,19.92
2332,RIO GRANDE DO NORTE,2024-03-01,20.33
2333,PARAÍBA,2024-03-01,22.32
2334,PERNAMBUCO,2024-03-01,25.78
2335,ALAGOAS,2024-03-01,19.36
2336,SERGIPE,2024-03-01,25.68
2337,BAHIA,2024-03-01,22.74
2338,MINAS GERAIS,2024-03-01,18.04
2339,ESPÍRITO SANTO,2024-03-01,15.61
2340,RIO DE JANEIRO,2024-03-01,26.98
2341,SÃO PAULO,2024-03-01,18.94
2342,PARANÁ,2024-03-01,16.75
2343,SANTA CATARINA,2024-03-01,15.07
2344,RIO GRANDE DO SUL,2024-03-01,18.88
2345,MATO GROSSO DO SUL,2024-03-01,15.34
2346,MATO GROSSO,2024-03-01,13.81
2347,GOIÁS,2024-03-01,13.41
2348,DISTRITO FEDERAL,2024-03-01,15.67
