,Unidade Territorial,Referência,Percentual fam unip pbf
307,RIO GRANDE DO NORTE,2017-10-01,9.85
308,PARAÍBA,2017-10-01,13.05
309,PERNAMBUCO,2017-10-01,15.7
310,ALAGOAS,2017-10-01,11.36
311,SERGIPE,2017-10-01,14.93
312,BAHIA,2017-10-01,13.62
313,MINAS GERAIS,2017-10-01,9.87
314,ESPÍRITO SANTO,2017-10-01,9.2
315,RIO DE JANEIRO,2017-10-01,13.25
316,SÃO PAULO,2017-10-01,13.53
317,PARANÁ,2017-10-01,10.09
318,SANTA CATARINA,2017-10-01,9.31
319,RIO GRANDE DO SUL,2017-10-01,10.59
320,MATO GROSSO DO SUL,2017-10-01,8.76
321,MATO GROSSO,2017-10-01,7.7
322,GOIÁS,2017-10-01,6.76
323,DISTRITO FEDERAL,2017-10-01,10.11
324,RONDÔNIA,2017-11-01,4.19
325,ACRE,2017-11-01,3.01
326,AMAZONAS,2017-11-01,4.57
327,RORAIMA,2017-11-01,8.2
328,PARÁ,2017-11-01,6.05
329,AMAPÁ,2017-11-01,3.89
330,TOCANTINS,2017-11-01,6.73
331,MARANHÃO,2017-11-01,8.71
332,PIAUÍ,2017-11-01,12.21
333,CEARÁ,2017-11-01,9.55
334,RIO GRANDE DO NORTE,2017-11-01,9.98
335,PARAÍBA,2017-11-01,13.2
336,PERNAMBUCO,2017-11-01,15.84
337,ALAGOAS,2017-11-01,11.51
338,SERGIPE,2017-11-01,15.11
339,BAHIA,2017-11-01,13.79
340,MINAS GERAIS,2017-11-01,10.03
341,ESPÍRITO SANTO,2017-11-01,9.36
342,RIO DE JANEIRO,2017-11-01,13.55
343,SÃO PAULO,2017-11-01,13.69
344,PARANÁ,2017-11-01,10.2
345,SANTA CATARINA,2017-11-01,9.49
346,RIO GRANDE DO SUL,2017-11-01,10.8
347,MATO GROSSO DO SUL,2017-11-01,8.86
348,MATO GROSSO,2017-11-01,7.86
349,GOIÁS,2017-11-01,6.86
350,DISTRITO FEDERAL,2017-11-01,10.18
351,RONDÔNIA,2017-12-01,4.29
352,ACRE,2017-12-01,3.1
353,AMAZONAS,2017-12-01,4.72
354,RORAIMA,2017-12-01,8.47
355,PARÁ,2017-12-01,6.23
356,AMAPÁ,2017-12-01,4.42
357,TOCANTINS,2017-12-01,6.84
358,MARANHÃO,2017-12-01,8.84
359,PIAUÍ,2017-12-01,12.39
360,CEARÁ,2017-12-01,9.74
361,RIO GRANDE DO NORTE,2017-12-01,10.18
362,PARAÍBA,2017-12-01,13.41
363,PERNAMBUCO,2017-12-01,16.02
364,ALAGOAS,2017-12-01,11.71
365,SERGIPE,2017-12-01,15.36
366,BAHIA,2017-12-01,13.98
367,MINAS GERAIS,2017-12-01,10.23
368,ESPÍRITO SANTO,2017-12-01,9.52
369,RIO DE JANEIRO,2017-12-01,13.85
370,SÃO PAULO,2017-12-01,13.95
371,PARANÁ,2017-12-01,10.42
372,SANTA CATARINA,2017-12-01,9.73
373,RIO GRANDE DO SUL,2017-12-01,11.11
374,MATO GROSSO DO SUL,2017-12-01,9.05
375,MATO GROSSO,2017-12-01,8.04
376,GOIÁS,2017-12-01,7.03
377,DISTRITO FEDERAL,2017-12-01,10.4
378,RONDÔNIA,2018-01-01,4.3
379,ACRE,2018-01-01,3.08
380,AMAZONAS,2018-01-01,4.87
381,RORAIMA,2018-01-01,8.54
382,PARÁ,2018-01-01,6.34
383,AMAPÁ,2018-01-01,5.08
384,TOCANTINS,2018-01-01,6.89
385,MARANHÃO,2018-01-01,8.96
386,PIAUÍ,2018-01-01,12.48
387,CEARÁ,2018-01-01,9.84
388,RIO GRANDE DO NORTE,2018-01-01,10.25
389,PARAÍBA,2018-01-01,13.5
390,PERNAMBUCO,2018-01-01,16.1
391,ALAGOAS,2018-01-01,11.86
392,SERGIPE,2018-01-01,15.54
393,BAHIA,2018-01-01,14.13
394,MINAS GERAIS,2018-01-01,10.3
395,ESPÍRITO SANTO,2018-01-01,9.58
396,RIO DE JANEIRO,2018-01-01,13.96
397,SÃO PAULO,2018-01-01,14.02
398,PARANÁ,2018-01-01,10.47
399,SANTA CATARINA,2018-01-01,9.74
400,RIO GRANDE DO SUL,2018-01-01,11.25
401,MATO GROSSO DO SUL,2018-01-01,9.02
402,MATO GROSSO,2018-01-01,8.09
403,GOIÁS,2018-01-01,7.16
404,DISTRITO FEDERAL,2018-01-01,10.25
405,RONDÔNIA,2018-02-01,4.17
406,ACRE,2018-02-01,3.08
407,AMAZONAS,2018-02-01,4.93
408,RORAIMA,2018-02-01,8.37
409,PARÁ,2018-02-01,6.3
410,AMAPÁ,2018-02-01,5.14
411,TOCANTINS,2018-02-01,6.89
412,MARANHÃO,2018-02-01,8.9
413,PIAUÍ,2018-02-01,12.53
414,CEARÁ,2018-02-01,9.89
415,RIO GRANDE DO NORTE,2018-02-01,10.31
416,PARAÍBA,2018-02-01,13.55
417,PERNAMBUCO,2018-02-01,16.13
418,ALAGOAS,2018-02-01,11.92
419,SERGIPE,2018-02-01,15.62
420,BAHIA,2018-02-01,14.16
421,MINAS GERAIS,2018-02-01,10.38
422,ESPÍRITO SANTO,2018-02-01,9.62
423,RIO DE JANEIRO,2018-02-01,14.07
424,SÃO PAULO,2018-02-01,14.02
425,PARANÁ,2018-02-01,10.53
426,SANTA CATARINA,2018-02-01,9.82
427,RIO GRANDE DO SUL,2018-02-01,11.38
428,MATO GROSSO DO SUL,2018-02-01,9.01
429,MATO GROSSO,2018-02-01,7.95
430,GOIÁS,2018-02-01,7.17
431,DISTRITO FEDERAL,2018-02-01,10.37
432,RONDÔNIA,2018-03-01,4.23
433,ACRE,2018-03-01,3.2
434,AMAZONAS,2018-03-01,5.16
435,RORAIMA,2018-03-01,8.6
436,PARÁ,2018-03-01,6.45
437,AMAPÁ,2018-03-01,5.3
438,TOCANTINS,2018-03-01,7.1
439,MARANHÃO,2018-03-01,9.01
440,PIAUÍ,2018-03-01,12.8
441,CEARÁ,2018-03-01,10.15
442,RIO GRANDE DO NORTE,2018-03-01,10.67
443,PARAÍBA,2018-03-01,13.87
444,PERNAMBUCO,2018-03-01,16.45
445,ALAGOAS,2018-03-01,12.29
446,SERGIPE,2018-03-01,16.06
447,BAHIA,2018-03-01,14.49
448,MINAS GERAIS,2018-03-01,10.83
449,ESPÍRITO SANTO,2018-03-01,10.02
450,RIO DE JANEIRO,2018-03-01,14.55
451,SÃO PAULO,2018-03-01,14.57
452,PARANÁ,2018-03-01,11.03
453,SANTA CATARINA,2018-03-01,10.34
454,RIO GRANDE DO SUL,2018-03-01,11.8
455,MATO GROSSO DO SUL,2018-03-01,9.31
456,MATO GROSSO,2018-03-01,8.28
457,GOIÁS,2018-03-01,7.47
458,DISTRITO FEDERAL,2018-03-01,10.83
459,RONDÔNIA,2018-04-01,4.18
460,ACRE,2018-04-01,3.23
461,AMAZONAS,2018-04-01,5.3
462,RORAIMA,2018-04-01,8.58
463,PARÁ,2018-04-01,6.51
464,AMAPÁ,2018-04-01,5.35
465,TOCANTINS,2018-04-01,7.1
466,MARANHÃO,2018-04-01,8.98
467,PIAUÍ,2018-04-01,12.87
468,CEARÁ,2018-04-01,10.14
469,RIO GRANDE DO NORTE,2018-04-01,10.79
470,PARAÍBA,2018-04-01,13.96
471,PERNAMBUCO,2018-04-01,16.45
472,ALAGOAS,2018-04-01,12.41
473,SERGIPE,2018-04-01,16.27
474,BAHIA,2018-04-01,14.48
475,MINAS GERAIS,2018-04-01,10.78
476,ESPÍRITO SANTO,2018-04-01,9.96
477,RIO DE JANEIRO,2018-04-01,14.43
478,SÃO PAULO,2018-04-01,14.31
479,PARANÁ,2018-04-01,10.89
480,SANTA CATARINA,2018-04-01,10.12
481,RIO GRANDE DO SUL,2018-04-01,11.69
482,MATO GROSSO DO SUL,2018-04-01,9.24
483,MATO GROSSO,2018-04-01,8.1
484,GOIÁS,2018-04-01,7.44
485,DISTRITO FEDERAL,2018-04-01,10.55
486,RONDÔNIA,2018-05-01,4.38
487,ACRE,2018-05-01,3.41
488,AMAZONAS,2018-05-01,5.61
489,RORAIMA,2018-05-01,9.33
490,PARÁ,2018-05-01,6.8
491,AMAPÁ,2018-05-01,5.43
492,TOCANTINS,2018-05-01,7.4
493,MARANHÃO,2018-05-01,9.23
494,PIAUÍ,2018-05-01,13.36
495,CEARÁ,2018-05-01,10.49
496,RIO GRANDE DO NORTE,2018-05-01,11.29
497,PARAÍBA,2018-05-01,14.59
498,PERNAMBUCO,2018-05-01,17.03
499,ALAGOAS,2018-05-01,13.12
500,SERGIPE,2018-05-01,16.96
501,BAHIA,2018-05-01,14.95
502,MINAS GERAIS,2018-05-01,11.33
503,ESPÍRITO SANTO,2018-05-01,10.34
504,RIO DE JANEIRO,2018-05-01,14.99
505,SÃO PAULO,2018-05-01,14.87
506,PARANÁ,2018-05-01,11.36
507,SANTA CATARINA,2018-05-01,10.72
508,RIO GRANDE DO SUL,2018-05-01,12.43
509,MATO GROSSO DO SUL,2018-05-01,9.82
510,MATO GROSSO,2018-05-01,8.55
511,GOIÁS,2018-05-01,7.87
512,DISTRITO FEDERAL,2018-05-01,10.95
513,RONDÔNIA,2018-06-01,4.23
514,ACRE,2018-06-01,3.37
515,AMAZONAS,2018-06-01,5.61
516,RORAIMA,2018-06-01,9.69
517,PARÁ,2018-06-01,6.79
518,AMAPÁ,2018-06-01,5.39
519,TOCANTINS,2018-06-01,7.28
520,MARANHÃO,2018-06-01,9.08
521,PIAUÍ,2018-06-01,13.27
522,CEARÁ,2018-06-01,10.35
523,RIO GRANDE DO NORTE,2018-06-01,11.22
524,PARAÍBA,2018-06-01,14.42
525,PERNAMBUCO,2018-06-01,16.83
526,ALAGOAS,2018-06-01,12.98
527,SERGIPE,2018-06-01,16.92
528,BAHIA,2018-06-01,14.73
529,MINAS GERAIS,2018-06-01,11.0
530,ESPÍRITO SANTO,2018-06-01,10.09
531,RIO DE JANEIRO,2018-06-01,14.46
532,SÃO PAULO,2018-06-01,14.58
533,PARANÁ,2018-06-01,11.2
534,SANTA CATARINA,2018-06-01,10.41
535,RIO GRANDE DO SUL,2018-06-01,12.19
536,MATO GROSSO DO SUL,2018-06-01,9.81
537,MATO GROSSO,2018-06-01,8.49
538,GOIÁS,2018-06-01,7.66
539,DISTRITO FEDERAL,2018-06-01,10.45
540,RONDÔNIA,2018-07-01,4.28
541,ACRE,2018-07-01,3.46
542,AMAZONAS,2018-07-01,5.69
543,RORAIMA,2018-07-01,9.91
544,PARÁ,2018-07-01,6.88
545,AMAPÁ,2018-07-01,5.44
546,TOCANTINS,2018-07-01,7.36
547,MARANHÃO,2018-07-01,9.19
548,PIAUÍ,2018-07-01,13.42
549,CEARÁ,2018-07-01,10.48
550,RIO GRANDE DO NORTE,2018-07-01,11.36
551,PARAÍBA,2018-07-01,14.51
552,PERNAMBUCO,2018-07-01,16.97
553,ALAGOAS,2018-07-01,13.09
554,SERGIPE,2018-07-01,17.13
555,BAHIA,2018-07-01,14.81
556,MINAS GERAIS,2018-07-01,11.11
557,ESPÍRITO SANTO,2018-07-01,10.15
558,RIO DE JANEIRO,2018-07-01,14.63
559,SÃO PAULO,2018-07-01,14.69
560,PARANÁ,2018-07-01,11.32
561,SANTA CATARINA,2018-07-01,10.56
562,RIO GRANDE DO SUL,2018-07-01,12.34
563,MATO GROSSO DO SUL,2018-07-01,10.04
564,MATO GROSSO,2018-07-01,8.66
565,GOIÁS,2018-07-01,7.78
566,DISTRITO FEDERAL,2018-07-01,10.57
567,RONDÔNIA,2018-08-01,4.59
568,ACRE,2018-08-01,3.66
569,AMAZONAS,2018-08-01,5.94
570,RORAIMA,2018-08-01,11.06
571,PARÁ,2018-08-01,7.16
572,AMAPÁ,2018-08-01,5.87
573,TOCANTINS,2018-08-01,7.68
574,MARANHÃO,2018-08-01,9.39
575,PIAUÍ,2018-08-01,13.87
576,CEARÁ,2018-08-01,10.93
577,RIO GRANDE DO NORTE,2018-08-01,11.87
578,PARAÍBA,2018-08-01,15.01
579,PERNAMBUCO,2018-08-01,17.5
580,ALAGOAS,2018-08-01,13.56
581,SERGIPE,2018-08-01,17.81
582,BAHIA,2018-08-01,15.33
583,MINAS GERAIS,2018-08-01,11.78
584,ESPÍRITO SANTO,2018-08-01,10.75
585,RIO DE JANEIRO,2018-08-01,15.49
586,SÃO PAULO,2018-08-01,15.68
587,PARANÁ,2018-08-01,12.12
588,SANTA CATARINA,2018-08-01,11.49
589,RIO GRANDE DO SUL,2018-08-01,13.14
590,MATO GROSSO DO SUL,2018-08-01,10.8
591,MATO GROSSO,2018-08-01,9.44
592,GOIÁS,2018-08-01,8.28
593,DISTRITO FEDERAL,2018-08-01,11.44
594,RONDÔNIA,2018-09-01,4.69
595,ACRE,2018-09-01,3.84
596,AMAZONAS,2018-09-01,6.05
597,RORAIMA,2018-09-01,11.06
598,PARÁ,2018-09-01,7.33
599,AMAPÁ,2018-09-01,6.15
600,TOCANTINS,2018-09-01,7.82
601,MARANHÃO,2018-09-01,9.53
602,PIAUÍ,2018-09-01,14.06
603,CEARÁ,2018-09-01,11.14
604,RIO GRANDE DO NORTE,2018-09-01,12.08
605,PARAÍBA,2018-09-01,15.25
606,PERNAMBUCO,2018-09-01,17.77
607,ALAGOAS,2018-09-01,13.79
608,SERGIPE,2018-09-01,18.18
609,BAHIA,2018-09-01,15.54
610,MINAS GERAIS,2018-09-01,11.96
611,ESPÍRITO SANTO,2018-09-01,10.91
612,RIO DE JANEIRO,2018-09-01,15.79
613,SÃO PAULO,2018-09-01,15.84
614,PARANÁ,2018-09-01,12.34
615,SANTA CATARINA,2018-09-01,11.66
616,RIO GRANDE DO SUL,2018-09-01,13.39
617,MATO GROSSO DO SUL,2018-09-01,10.97
618,MATO GROSSO,2018-09-01,9.66
619,GOIÁS,2018-09-01,8.41
620,DISTRITO FEDERAL,2018-09-01,11.56
621,RONDÔNIA,2018-10-01,4.77
622,ACRE,2018-10-01,3.98
623,AMAZONAS,2018-10-01,6.2
624,RORAIMA,2018-10-01,11.52
625,PARÁ,2018-10-01,7.58
626,AMAPÁ,2018-10-01,6.25
627,TOCANTINS,2018-10-01,7.9
628,MARANHÃO,2018-10-01,9.7
